,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
114,Tata NEXON,Tata,2022,"79,488 km",Petrol,Manual,"EMI ₹10,899/m*",₹6.17 lakh
115,Honda City,Honda,2017,"36,457 km",Petrol,Manual,"EMI ₹12,564/m*",₹6.43 lakh
116,Skoda Rapid,Skoda,2017,"1,26,243 km",Petrol,Manual,"EMI ₹9,165/m*",₹4.12 lakh
117,Hyundai Creta,Hyundai,2019,"45,403 km",Petrol,Manual,"EMI ₹11,615/m*",₹6.58 lakh
118,Hyundai Creta,Hyundai,2018,"1,24,513 km",Petrol,Auto,"EMI ₹12,679/m*",₹5.70 lakh
119,Hyundai i10,Hyundai,2013,"32,147 km",Petrol,Manual,"EMI ₹12,616/m*",₹2.68 lakh
120,Honda Jazz,Honda,2015,"92,650 km",Petrol,Auto,"EMI ₹8,796/m*",₹3.34 lakh
121,Hyundai Grand i10,Hyundai,2018,"1,15,563 km",Petrol,Manual,"EMI ₹7,185/m*",₹3.23 lakh
122,Tata ALTROZ,Tata,2022,"31,146 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
123,Maruti Baleno,Maruti,2021,"37,741 km",Petrol,Manual,"EMI ₹11,793/m*",₹6.68 lakh
124,Hyundai VENUE,Hyundai,2023,"17,044 km",Petrol,Manual,"EMI ₹14,069/m*",₹7.97 lakh
125,Tata NEXON,Tata,2022,"17,364 km",Petrol,Auto,"EMI ₹12,975/m*",₹7.35 lakh
126,Honda Amaze,Honda,2015,"81,136 km",Petrol,Manual,"EMI ₹8,479/m*",₹3.22 lakh
127,Maruti Wagon R 1.0,Maruti,2016,"91,702 km",Petrol,Auto,"EMI ₹6,117/m*",₹2.75 lakh
128,Mahindra XUV300,Mahindra,2024,"17,821 km",Petrol,Auto,"EMI ₹15,902/m*",₹9.29 lakh
129,Hyundai Grand i10,Hyundai,2019,"32,859 km",Petrol,Manual,"EMI ₹7,732/m*",₹4.38 lakh
130,Maruti Alto 800,Maruti,2014,"37,894 km",Petrol,Manual,"EMI ₹6,743/m*",₹2.03 lakh
131,Honda Amaze,Honda,2018,"65,604 km",Diesel,Manual,"EMI ₹9,931/m*",₹5.08 lakh
132,Honda Amaze,Honda,2023,"40,416 km",Petrol,Manual,"EMI ₹11,192/m*",₹6.34 lakh
133,Maruti Wagon R 1.0,Maruti,2016,"51,859 km",Petrol,Auto,"EMI ₹6,295/m*",₹2.83 lakh
134,Tata Tiago,Tata,2018,"1,28,118 km",Petrol,Manual,"EMI ₹6,718/m*",₹3.02 lakh
135,Maruti Dzire,Maruti,2020,"49,400 km",Petrol,Manual,"EMI ₹10,097/m*",₹5.72 lakh
136,Honda City,Honda,2018,"92,063 km",Petrol,Manual,"EMI ₹9,674/m*",₹5.48 lakh
137,Maruti Wagon R 1.0,Maruti,2017,"35,930 km",Petrol,Manual,"EMI ₹6,745/m*",₹3.45 lakh
