,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
78,Ford Figo Aspire,Ford,2018,"44,944 km",Petrol,Auto,"EMI ₹6,973/m*",₹3.95 lakh
79,Maruti Swift Dzire,Maruti,2014,"58,432 km",Petrol,Manual,"EMI ₹10,130/m*",₹3.05 lakh
80,Maruti Ciaz,Maruti,2018,"47,167 km",Petrol,Manual,"EMI ₹9,003/m*",₹5.10 lakh
81,Honda City,Honda,2016,"1,12,545 km",Petrol,Manual,"EMI ₹9,565/m*",₹4.30 lakh
82,Honda Jazz,Honda,2016,"56,400 km",Petrol,Manual,"EMI ₹7,118/m*",₹3.20 lakh
83,Ford FREESTYLE,Ford,2018,"44,783 km",Petrol,Manual,"EMI ₹7,326/m*",₹4.15 lakh
84,Tata NEXON,Tata,2018,"1,08,811 km",Diesel,Manual,"EMI ₹11,678/m*",₹5.25 lakh
85,Renault Kwid,Renault,2020,"55,015 km",Petrol,Auto,"EMI ₹5,415/m*",₹3.07 lakh
86,Toyota Etios,Toyota,2015,"1,09,045 km",Diesel,Manual,"EMI ₹10,801/m*",₹3.25 lakh
87,Tata Tiago,Tata,2023,"31,507 km",Petrol,Manual,"EMI ₹9,353/m*",₹5.30 lakh
88,Ford New Figo,Ford,2019,"64,987 km",Diesel,Manual,"EMI ₹9,515/m*",₹5.39 lakh
89,Honda Amaze,Honda,2015,"1,45,917 km",Petrol,Manual,"EMI ₹6,042/m*",₹2.29 lakh
90,Hyundai GRAND I10 NIOS,Hyundai,2020,"37,399 km",Petrol,Manual,"EMI ₹5,614/m*",₹3.18 lakh
91,Hyundai Xcent,Hyundai,2014,"1,57,335 km",Diesel,Manual,"EMI ₹9,697/m*",₹2.06 lakh
92,Honda Amaze,Honda,2018,"89,854 km",Petrol,Manual,"EMI ₹7,750/m*",₹4.39 lakh
93,Tata TIGOR,Tata,2019,"67,002 km",Diesel,Manual,"EMI ₹4,784/m*",₹2.71 lakh
94,Hyundai Creta,Hyundai,2019,"1,17,499 km",Diesel,Manual,"EMI ₹15,860/m*",₹7.13 lakh
95,Hyundai Creta,Hyundai,2020,"60,322 km",Diesel,Manual,"EMI ₹16,095/m*",₹9.40 lakh
96,Skoda Rapid,Skoda,2019,"1,10,290 km",Diesel,Auto,"EMI ₹14,615/m*",₹6.57 lakh
97,Mahindra XUV300,Mahindra,2023,"90,646 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
98,Nissan MAGNITE,Nissan,2021,"80,720 km",Petrol,Manual,"EMI ₹6,832/m*",₹3.87 lakh
99,Hyundai GRAND I10 NIOS,Hyundai,2019,"26,278 km",Petrol,Manual,"EMI ₹6,867/m*",₹3.89 lakh
100,Renault Kwid,Renault,2016,"47,610 km",Petrol,Manual,"EMI ₹3,604/m*",₹1.62 lakh
101,Mahindra XUV500,Mahindra,2012,"1,47,703 km",Diesel,Manual,"EMI ₹3,604/m*",₹2.50 lakh
102,Tata PUNCH,Tata,2023,"28,044 km",Petrol,Manual,"EMI ₹13,963/m*",₹7.91 lakh
103,Maruti Swift,Maruti,2014,"1,16,221 km",Petrol,Manual,"EMI ₹6,842/m*",₹2.06 lakh
104,MG HECTOR,MG,2020,"93,440 km",Diesel,Manual,"EMI ₹13,698/m*",₹8.00 lakh
105,Hyundai Xcent,Hyundai,2016,"80,139 km",Diesel,Manual,"EMI ₹5,214/m*",₹1.98 lakh
106,Maruti Swift Dzire,Maruti,2013,"41,954 km",Petrol,Manual,"EMI ₹11,203/m*",₹2.38 lakh
107,Maruti Swift Dzire,Maruti,2013,"1,22,033 km",Diesel,Manual,"EMI ₹19,813/m*",₹2.23 lakh
108,Ford Figo Aspire,Ford,2017,"86,123 km",Diesel,Manual,"EMI ₹5,739/m*",₹2.58 lakh
109,Hyundai i20,Hyundai,2012,"62,769 km",Petrol,Manual,"EMI ₹13,860/m*",₹1.56 lakh
110,Hyundai i20,Hyundai,2012,"80,353 km",Diesel,Manual,"EMI ₹13,860/m*",₹2.16 lakh
111,Maruti Wagon R 1.0,Maruti,2012,"23,627 km",Petrol,Manual,"EMI ₹15,993/m*",₹1.80 lakh
112,Maruti Alto 800,Maruti,2016,"55,000 km",Petrol,Manual,"EMI ₹4,493/m*",₹2.02 lakh
113,Maruti Celerio,Maruti,2016,"1,12,950 km",Petrol,Manual,"EMI ₹5,027/m*",₹2.26 lakh
114,Hyundai Eon,Hyundai,2012,"1,01,272 km",Petrol,Manual,"EMI ₹10,129/m*",₹1.14 lakh
115,Chevrolet Beat,Chevrolet,2014,"83,034 km",Diesel,Manual,"EMI ₹5,178/m*",₹1.10 lakh
116,Volkswagen Polo,Volkswagen,2013,"1,06,499 km",Diesel,Manual,"EMI ₹12,528/m*",₹1.41 lakh
117,Hyundai i10,Hyundai,2012,"80,491 km",Petrol,Manual,"EMI ₹13,238/m*",₹1.49 lakh
118,Renault Duster,Renault,2013,"61,775 km",Diesel,Manual,"EMI ₹19,191/m*",₹2.16 lakh
119,Hyundai Eon,Hyundai,2014,"53,973 km",Petrol,Manual,"EMI ₹5,414/m*",₹1.63 lakh
120,Honda Amaze,Honda,2014,"1,13,135 km",Petrol,Manual,"EMI ₹6,842/m*",₹2.06 lakh
121,Honda Brio,Honda,2013,"75,989 km",Petrol,Manual,"EMI ₹9,132/m*",₹1.94 lakh
122,Hyundai i10,Hyundai,2012,"22,064 km",Petrol,Auto,"EMI ₹20,169/m*",₹2.27 lakh
123,Tata NEXON,Tata,2020,"45,165 km",Petrol,Manual,"EMI ₹11,227/m*",₹6.36 lakh
124,Mahindra TUV300,Mahindra,2017,"2,292 km",Diesel,Manual,"EMI ₹9,120/m*",₹4.10 lakh
125,Hyundai Eon,Hyundai,2011,"74,207 km",Petrol,Manual,"EMI ₹9,120/m*",₹0.96 lakh
126,Tata ALTROZ,Tata,2023,"19,632 km",Petrol,Manual,"EMI ₹8,985/m*",₹5.09 lakh
127,Tata Safari,Tata,2012,"88,367 km",Diesel,Manual,"EMI ₹8,985/m*",₹1.00 lakh
128,Hyundai i10,Hyundai,2014,"68,839 km",Petrol,Manual,"EMI ₹5,945/m*",₹1.79 lakh
129,Skoda Kodiaq,Skoda,2017,"62,872 km",Diesel,Auto,"EMI ₹20,655/m*",₹9.50 lakh
130,Datsun Go,Datsun,2016,"1,11,813 km",Petrol,Manual,"EMI ₹2,380/m*",₹1.07 lakh
131,Chevrolet Aveo,Chevrolet,2010,"19,818 km",Petrol,Manual,"EMI ₹2,380/m*",₹0.79 lakh
132,Toyota Etios,Toyota,2012,"1,68,687 km",Petrol,Manual,"EMI ₹12,883/m*",₹1.45 lakh
133,Hyundai Xcent,Hyundai,2014,"75,578 km",Petrol,Manual,"EMI ₹8,603/m*",₹2.59 lakh
134,Hyundai Verna,Hyundai,2013,"61,855 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
135,Hyundai Verna,Hyundai,2017,"61,862 km",Petrol,Manual,"EMI ₹10,792/m*",₹5.52 lakh
136,Hyundai Verna,Hyundai,2012,"84,155 km",Diesel,Manual,"EMI ₹10,792/m*",₹2.51 lakh
137,Honda Amaze,Honda,2013,"1,08,481 km",Diesel,Manual,"EMI ₹15,460/m*",₹1.74 lakh
138,Maruti XL6,Maruti,2022,"44,449 km",Petrol,Manual,"EMI ₹15,239/m*",₹8.90 lakh
139,Toyota Etios,Toyota,2013,"1,42,155 km",Diesel,Manual,"EMI ₹15,993/m*",₹1.80 lakh
140,Skoda Laura,Skoda,2012,"96,547 km",Diesel,Manual,"EMI ₹15,993/m*",₹1.80 lakh
141,Hyundai Eon,Hyundai,2018,"1,12,494 km",Petrol,Manual,"EMI ₹4,516/m*",₹2.03 lakh
142,Nissan MAGNITE,Nissan,2023,"30,807 km",Petrol,Manual,"EMI ₹8,526/m*",₹4.83 lakh
143,Maruti Swift,Maruti,2020,"85,610 km",Petrol,Manual,"EMI ₹7,520/m*",₹4.26 lakh
144,Hyundai Elite i20,Hyundai,2017,"96,041 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
145,Ford Figo Aspire,Ford,2017,"3,48,318 km",Diesel,Manual,"EMI ₹6,117/m*",₹2.75 lakh
146,Mahindra BOLERO NEO,Mahindra,2022,"19,754 km",Diesel,Manual,"EMI ₹13,698/m*",₹8.00 lakh
147,Hyundai Grand i10,Hyundai,2016,"38,037 km",Petrol,Manual,"EMI ₹6,851/m*",₹3.08 lakh
148,Ford Figo,Ford,2011,"56,110 km",Petrol,Manual,"EMI ₹6,851/m*",₹0.94 lakh
149,Tata Tiago,Tata,2018,"51,089 km",Petrol,Manual,"EMI ₹5,261/m*",₹2.98 lakh
150,Hyundai Elite i20,Hyundai,2018,"1,09,838 km",Petrol,Manual,"EMI ₹7,875/m*",₹3.54 lakh
