,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
335,Nissan Micra,Nissan,2012,"73,760 km",Diesel,Manual,"EMI ₹6,479/m*",₹1.30 lakh
336,Maruti Vitara Brezza,Maruti,2020,"55,484 km",Diesel,Manual,"EMI ₹11,245/m*",₹6.37 lakh
337,Honda Amaze,Honda,2018,"54,440 km",Petrol,Manual,"EMI ₹7,573/m*",₹4.29 lakh
338,Honda Jazz,Honda,2012,"2,04,296 km",Petrol,Manual,"EMI ₹13,683/m*",₹1.54 lakh
339,Hyundai Creta,Hyundai,2019,"63,293 km",Diesel,Manual,"EMI ₹12,692/m*",₹7.19 lakh
340,Toyota Innova Crysta,Toyota,2020,"1,78,152 km",Diesel,Manual,"EMI ₹36,375/m*",₹16.73 lakh
341,Mahindra XUV700,Mahindra,2025,268 km,Petrol,Manual,"EMI ₹24,417/m*",₹14.26 lakh
342,Maruti Dzire,Maruti,2017,"1,11,836 km",Diesel,Manual,"EMI ₹9,409/m*",₹4.23 lakh
343,Tata ALTROZ,Tata,2023,"25,562 km",Petrol,Manual,"EMI ₹11,386/m*",₹6.45 lakh
344,Tata Tiago,Tata,2022,"64,287 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
345,Tata Safari,Tata,2022,"1,07,322 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
346,Maruti Ciaz,Maruti,2014,"60,341 km",Petrol,Manual,"EMI ₹11,193/m*",₹3.37 lakh
347,Mahindra XUV300,Mahindra,2022,"66,787 km",Petrol,Manual,"EMI ₹11,969/m*",₹6.78 lakh
348,Maruti Eeco,Maruti,2021,"1,65,973 km",Petrol,Manual,"EMI ₹7,496/m*",₹3.37 lakh
349,KIA SONET,KIA,2025,"21,203 km",Petrol,Manual,"EMI ₹17,910/m*",₹10.46 lakh
350,Maruti Baleno,Maruti,2019,"1,49,377 km",Petrol,Manual,"EMI ₹9,187/m*",₹4.13 lakh
