,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
138,Renault Duster,Renault,2015,"1,74,080 km",Diesel,Manual,"EMI ₹7,274/m*",₹2.19 lakh
139,Mahindra TUV300,Mahindra,2016,"2,10,417 km",Diesel,Manual,"EMI ₹6,531/m*",₹2.48 lakh
140,Hyundai Eon,Hyundai,2014,"1,27,845 km",Petrol,Manual,"EMI ₹5,314/m*",₹1.60 lakh
141,Hyundai Eon,Hyundai,2016,"12,559 km",Petrol,Manual,"EMI ₹4,382/m*",₹1.97 lakh
142,KIA SELTOS,KIA,2020,"93,492 km",Diesel,Manual,"EMI ₹13,416/m*",₹7.60 lakh
143,Honda Brio,Honda,2012,"67,966 km",Petrol,Manual,"EMI ₹13,949/m*",₹1.57 lakh
144,Toyota Innova,Toyota,2014,"1,78,740 km",Diesel,Manual,"EMI ₹24,714/m*",₹5.25 lakh
145,Hyundai Eon,Hyundai,2013,"1,37,957 km",Petrol,Manual,"EMI ₹5,413/m*",₹1.15 lakh
146,Hyundai Grand i10,Hyundai,2016,"80,330 km",Petrol,Manual,"EMI ₹5,517/m*",₹2.48 lakh
147,Ford New Figo,Ford,2016,"1,45,611 km",Diesel,Manual,"EMI ₹6,109/m*",₹2.32 lakh
148,Renault Kwid,Renault,2018,"71,592 km",Petrol,Manual,"EMI ₹3,689/m*",₹2.09 lakh
149,Hyundai i20,Hyundai,2011,"1,20,559 km",Petrol,Manual,"EMI ₹3,689/m*",₹0.97 lakh
150,KIA SELTOS,KIA,2020,"35,004 km",Petrol,Manual,"EMI ₹11,969/m*",₹6.78 lakh
151,Hyundai Eon,Hyundai,2014,"89,088 km",Petrol,Manual,"EMI ₹3,753/m*",₹1.13 lakh
152,Mahindra Thar,Mahindra,2023,"25,058 km",Diesel,Manual,"EMI ₹16,061/m*",₹9.38 lakh
153,Renault TRIBER,Renault,2020,"41,640 km",Petrol,Manual,"EMI ₹6,055/m*",₹3.43 lakh
154,Hyundai i10,Hyundai,2012,"63,905 km",Petrol,Manual,"EMI ₹12,439/m*",₹1.40 lakh
155,Tata TIGOR,Tata,2022,"43,671 km",Petrol,Manual,"EMI ₹9,444/m*",₹5.35 lakh
156,Maruti Baleno,Maruti,2022,"52,618 km",Petrol,Manual,"EMI ₹8,491/m*",₹4.81 lakh
157,Honda Amaze,Honda,2014,"94,973 km",Diesel,Manual,"EMI ₹8,285/m*",₹1.76 lakh
158,Hyundai Eon,Hyundai,2013,"41,592 km",Petrol,Manual,"EMI ₹7,673/m*",₹1.63 lakh
159,Maruti Baleno,Maruti,2020,"46,917 km",Petrol,Manual,"EMI ₹7,008/m*",₹3.97 lakh
160,Datsun Go,Datsun,2016,"83,901 km",Petrol,Manual,"EMI ₹3,337/m*",₹1.50 lakh
161,Maruti Swift,Maruti,2024,"45,251 km",Petrol,Manual,"EMI ₹11,209/m*",₹6.35 lakh
162,Hyundai Eon,Hyundai,2013,"1,41,416 km",Petrol,Manual,"EMI ₹5,978/m*",₹1.27 lakh
163,Tata NEXON,Tata,2018,"75,592 km",Petrol,Manual,"EMI ₹7,008/m*",₹3.97 lakh
164,Maruti Alto K10,Maruti,2012,"73,944 km",Petrol,Manual,"EMI ₹11,550/m*",₹1.30 lakh
165,Hyundai Eon,Hyundai,2014,"1,40,753 km",Petrol,Manual,"EMI ₹3,853/m*",₹1.16 lakh
166,Skoda Rapid,Skoda,2019,"58,000 km",Diesel,Auto,"EMI ₹10,856/m*",₹6.15 lakh
167,Hyundai Elite i20,Hyundai,2015,"1,74,134 km",Diesel,Manual,"EMI ₹12,123/m*",₹3.65 lakh
168,Hyundai Eon,Hyundai,2015,"1,21,267 km",Petrol,Manual,"EMI ₹4,529/m*",₹1.72 lakh
169,Hyundai Eon,Hyundai,2017,"73,934 km",Petrol,Manual,"EMI ₹3,675/m*",₹1.88 lakh
170,Honda City,Honda,2018,"50,353 km",Petrol,Manual,"EMI ₹7,961/m*",₹4.51 lakh
171,Toyota Fortuner,Toyota,2012,"1,83,911 km",Diesel,Auto,"EMI ₹7,961/m*",₹7.46 lakh
172,Chevrolet Beat,Chevrolet,2012,"69,538 km",Diesel,Manual,"EMI ₹7,961/m*",₹0.68 lakh
173,Maruti Wagon R 1.0,Maruti,2014,"77,119 km",Petrol,Manual,"EMI ₹5,746/m*",₹1.73 lakh
174,Hyundai i10,Hyundai,2015,"68,414 km",Petrol,Manual,"EMI ₹5,635/m*",₹2.14 lakh
175,Maruti Swift,Maruti,2013,"95,753 km",Petrol,Manual,"EMI ₹13,840/m*",₹2.94 lakh
176,Hyundai Verna,Hyundai,2013,"91,009 km",Diesel,Manual,"EMI ₹21,146/m*",₹2.38 lakh
177,Hyundai Elite i20,Hyundai,2014,"74,876 km",Diesel,Manual,"EMI ₹16,334/m*",₹3.47 lakh
