,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
89,Maruti Alto 800,Maruti,2018,"69,702 km",CNG,Manual,"EMI ₹5,828/m*",₹2.62 lakh
90,Maruti Dzire,Maruti,2019,"42,205 km",Petrol,Manual,"EMI ₹7,543/m*",₹4.27 lakh
91,Maruti Wagon R 1.0,Maruti,2015,"95,668 km",CNG,Manual,"EMI ₹10,017/m*",₹2.13 lakh
92,Toyota Innova Crysta,Toyota,2022,"1,34,428 km",Diesel,Auto,"EMI ₹53,921/m*",₹24.80 lakh
93,Renault Kiger,Renault,2021,"39,237 km",Petrol,Auto,"EMI ₹8,863/m*",₹5.02 lakh
94,Ford New Figo,Ford,2016,"84,195 km",CNG,Manual,"EMI ₹8,609/m*",₹2.59 lakh
95,Hyundai i20,Hyundai,2013,"86,274 km",Petrol,Manual,"EMI ₹8,817/m*",₹1.87 lakh
96,Maruti S PRESSO,Maruti,2020,"54,626 km",Petrol,Manual,"EMI ₹5,102/m*",₹2.89 lakh
97,Volkswagen Vento,Volkswagen,2016,"74,659 km",Petrol,Manual,"EMI ₹7,941/m*",₹3.57 lakh
98,Hyundai i20 Active,Hyundai,2017,"89,713 km",Petrol,Manual,"EMI ₹7,664/m*",₹3.92 lakh
99,Maruti Baleno,Maruti,2024,"5,570 km",Petrol,Auto,"EMI ₹13,659/m*",₹7.74 lakh
100,Maruti New Wagon-R,Maruti,2022,"64,273 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
101,Jeep Compass,Jeep,2019,"88,507 km",Diesel,Manual,"EMI ₹15,622/m*",₹9.12 lakh
102,Volkswagen Polo,Volkswagen,2017,"59,524 km",Petrol,Auto,"EMI ₹9,455/m*",₹4.84 lakh
103,Audi Q3,Audi,2016,"73,408 km",Diesel,Auto,"EMI ₹35,667/m*",₹13.80 lakh
104,Honda City,Honda,2017,"66,841 km",Petrol,Auto,"EMI ₹11,821/m*",₹6.05 lakh
105,Maruti Celerio,Maruti,2015,"33,180 km",Petrol,Manual,"EMI ₹6,610/m*",₹2.51 lakh
106,Tata Tiago,Tata,2018,"62,656 km",Petrol,Manual,"EMI ₹5,683/m*",₹3.22 lakh
107,Maruti Swift,Maruti,2017,"40,784 km",Petrol,Manual,"EMI ₹7,155/m*",₹3.66 lakh
108,Fiat Punto EVO,Fiat,2014,"79,687 km",Diesel,Manual,"EMI ₹8,633/m*",₹1.83 lakh
109,Renault TRIBER,Renault,2022,"28,081 km",Petrol,Auto,"EMI ₹8,650/m*",₹4.90 lakh
110,Maruti Alto K10,Maruti,2013,"55,401 km",Petrol,Manual,"EMI ₹8,248/m*",₹1.75 lakh
111,Maruti Celerio,Maruti,2015,"36,276 km",Petrol,Auto,"EMI ₹6,636/m*",₹2.52 lakh
112,KIA SELTOS,KIA,2022,"35,856 km",Petrol,Manual,"EMI ₹23,455/m*",₹13.70 lakh
113,Maruti Swift Dzire,Maruti,2013,"93,343 km",CNG,Manual,"EMI ₹23,455/m*",₹2.64 lakh
114,Hyundai i10,Hyundai,2013,"1,04,045 km",Petrol,Manual,"EMI ₹8,313/m*",₹1.77 lakh
115,Maruti Grand Vitara,Maruti,2023,"65,480 km",CNG,Manual,"EMI ₹17,979/m*",₹10.50 lakh
116,Maruti Baleno,Maruti,2018,"55,742 km",Petrol,Manual,"EMI ₹7,679/m*",₹4.35 lakh
117,MG ASTOR,MG,2022,"52,428 km",Petrol,Manual,"EMI ₹12,904/m*",₹7.31 lakh
118,Renault Kwid,Renault,2016,"80,826 km",Petrol,Manual,"EMI ₹3,982/m*",₹1.79 lakh
119,Tata TIGOR,Tata,2018,"52,282 km",Petrol,Manual,"EMI ₹6,406/m*",₹3.63 lakh
120,Maruti Ciaz,Maruti,2016,"1,24,512 km",Petrol,Manual,"EMI ₹8,050/m*",₹3.62 lakh
121,Tata NEXON,Tata,2020,"71,627 km",Petrol,Manual,"EMI ₹9,949/m*",₹5.64 lakh
122,Maruti Swift Dzire,Maruti,2012,"65,844 km",Petrol,Manual,"EMI ₹18,747/m*",₹2.11 lakh
123,Tata NEXON,Tata,2019,"94,904 km",CNG,Auto,"EMI ₹10,557/m*",₹5.40 lakh
124,Hyundai GRAND I10 NIOS,Hyundai,2022,"1,36,340 km",CNG,Manual,"EMI ₹10,588/m*",₹4.76 lakh
125,Maruti Ciaz,Maruti,2017,"46,803 km",CNG,Auto,"EMI ₹11,613/m*",₹4.41 lakh
126,KIA SONET,KIA,2023,"28,540 km",Petrol,Manual,"EMI ₹12,445/m*",₹7.05 lakh
127,Hyundai Eon,Hyundai,2013,"93,032 km",Petrol,Manual,"EMI ₹6,436/m*",₹1.37 lakh
128,Renault Kwid,Renault,2018,"24,622 km",Petrol,Auto,"EMI ₹4,731/m*",₹2.68 lakh
129,Tata Tiago,Tata,2022,"21,841 km",Petrol,Manual,"EMI ₹7,997/m*",₹4.53 lakh
130,Honda Amaze,Honda,2014,"1,39,533 km",Petrol,Manual,"EMI ₹7,008/m*",₹2.11 lakh
131,Ford FREESTYLE,Ford,2021,"56,744 km",Diesel,Manual,"EMI ₹10,052/m*",₹5.69 lakh
132,Datsun Redi Go,Datsun,2018,"97,153 km",Petrol,Manual,"EMI ₹2,662/m*",₹1.51 lakh
