,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
110,Maruti Wagon R 1.0,Maruti,2013,"18,175 km",Petrol,Manual,"EMI ₹9,179/m*",₹1.95 lakh
111,Maruti Baleno,Maruti,2016,"47,594 km",Petrol,Manual,"EMI ₹6,896/m*",₹3.10 lakh
112,Hyundai Grand i10,Hyundai,2019,"1,05,601 km",Petrol,Manual,"EMI ₹7,786/m*",₹3.50 lakh
113,Maruti Swift,Maruti,2015,"48,444 km",Petrol,Manual,"EMI ₹6,636/m*",₹2.52 lakh
114,Hyundai Grand i10,Hyundai,2018,"45,296 km",Petrol,Manual,"EMI ₹5,633/m*",₹3.19 lakh
115,Maruti Dzire,Maruti,2020,"91,004 km",Petrol,Auto,"EMI ₹7,238/m*",₹4.10 lakh
116,Honda City,Honda,2018,"84,269 km",Diesel,Manual,"EMI ₹10,068/m*",₹5.15 lakh
117,KIA SONET,KIA,2021,"24,583 km",Petrol,Manual,"EMI ₹10,507/m*",₹5.95 lakh
118,Hyundai Elite i20,Hyundai,2017,"22,932 km",Petrol,Manual,"EMI ₹7,522/m*",₹3.85 lakh
119,Honda Jazz,Honda,2016,"38,572 km",Petrol,Manual,"EMI ₹5,672/m*",₹2.55 lakh
120,Hyundai Grand i10,Hyundai,2017,"77,839 km",Petrol,Auto,"EMI ₹6,549/m*",₹3.35 lakh
121,Hyundai GRAND I10 NIOS,Hyundai,2022,"39,827 km",Petrol,Manual,"EMI ₹7,763/m*",₹4.40 lakh
122,Mahindra XUV300,Mahindra,2021,"39,740 km",Petrol,Manual,"EMI ₹11,559/m*",₹6.55 lakh
123,Maruti Celerio,Maruti,2018,"76,332 km",Petrol,Manual,"EMI ₹4,501/m*",₹2.55 lakh
124,Tata ALTROZ,Tata,2022,"38,959 km",Petrol,Manual,"EMI ₹10,062/m*",₹5.70 lakh
125,Tata NEXON,Tata,2022,"66,589 km",Petrol,Manual,"EMI ₹8,821/m*",₹5.00 lakh
126,Maruti Swift,Maruti,2022,"15,803 km",Petrol,Manual,"EMI ₹8,473/m*",₹4.80 lakh
127,Tata NEXON,Tata,2018,"96,812 km",Petrol,Manual,"EMI ₹7,934/m*",₹4.49 lakh
128,Tata TIAGO NRG,Tata,2022,"28,771 km",Petrol,Manual,"EMI ₹7,061/m*",₹4.00 lakh
129,Hyundai NEW SANTRO,Hyundai,2019,"16,359 km",Petrol,Auto,"EMI ₹6,296/m*",₹3.57 lakh
130,Maruti S PRESSO,Maruti,2019,"42,450 km",Petrol,Auto,"EMI ₹5,472/m*",₹3.10 lakh
131,Maruti Celerio,Maruti,2015,"34,911 km",Petrol,Manual,"EMI ₹6,057/m*",₹2.30 lakh
132,Nissan MAGNITE,Nissan,2021,"1,02,983 km",Petrol,Auto,"EMI ₹12,457/m*",₹5.60 lakh
133,Maruti Baleno,Maruti,2019,"62,634 km",Petrol,Manual,"EMI ₹7,855/m*",₹4.45 lakh
134,Maruti Swift Dzire,Maruti,2016,"1,08,263 km",Petrol,Manual,"EMI ₹5,784/m*",₹2.60 lakh
135,Ford Ecosport,Ford,2016,"60,970 km",Petrol,Manual,"EMI ₹7,129/m*",₹3.20 lakh
136,Nissan Micra Active,Nissan,2018,"63,439 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
137,Hyundai i10,Hyundai,2013,"31,075 km",Petrol,Manual,"EMI ₹8,680/m*",₹1.84 lakh
138,Skoda KUSHAQ,Skoda,2022,"50,926 km",Petrol,Auto,"EMI ₹17,294/m*",₹10.10 lakh
139,Tata Tiago,Tata,2021,"35,941 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
