,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
75,Renault Kwid,Renault,2017,"48,587 km",Petrol,Manual,"EMI ₹4,203/m*",₹2.15 lakh
76,Maruti Baleno,Maruti,2016,"69,549 km",Petrol,Manual,"EMI ₹8,882/m*",₹3.99 lakh
77,Maruti Swift,Maruti,2019,"23,219 km",Petrol,Manual,"EMI ₹8,552/m*",₹4.84 lakh
78,Nissan MAGNITE,Nissan,2022,"45,514 km",Petrol,Auto,"EMI ₹10,698/m*",₹6.06 lakh
79,Hyundai VENUE,Hyundai,2020,"67,296 km",Diesel,Manual,"EMI ₹13,240/m*",₹7.50 lakh
80,Maruti Ertiga,Maruti,2019,"65,456 km",Petrol,Auto,"EMI ₹13,426/m*",₹7.61 lakh
81,Hyundai Elite i20,Hyundai,2017,"68,595 km",Diesel,Manual,"EMI ₹10,681/m*",₹4.80 lakh
82,MG HECTOR PLUS,MG,2020,"78,476 km",Petrol,Auto,"EMI ₹20,290/m*",₹11.85 lakh
83,Maruti Dzire,Maruti,2018,"40,523 km",Petrol,Manual,"EMI ₹8,713/m*",₹4.94 lakh
84,Tata Tiago,Tata,2016,"98,516 km",Diesel,Manual,"EMI ₹7,130/m*",₹2.71 lakh
85,Datsun Go Plus,Datsun,2017,"65,431 km",Petrol,Manual,"EMI ₹4,985/m*",₹2.55 lakh
86,Tata NEXON,Tata,2018,"1,04,000 km",Diesel,Auto,"EMI ₹10,700/m*",₹4.81 lakh
87,Honda Amaze,Honda,2019,"39,777 km",Petrol,Manual,"EMI ₹8,332/m*",₹4.72 lakh
88,KIA SONET,KIA,2020,"38,102 km",Petrol,Auto,"EMI ₹13,045/m*",₹7.39 lakh
89,Volkswagen Polo,Volkswagen,2019,"84,513 km",Petrol,Manual,"EMI ₹7,422/m*",₹4.20 lakh
90,Maruti Swift Dzire,Maruti,2015,"1,37,216 km",Petrol,Manual,"EMI ₹8,564/m*",₹3.25 lakh
91,Renault Kwid,Renault,2019,"63,437 km",Petrol,Auto,"EMI ₹4,607/m*",₹2.61 lakh
92,Skoda Rapid,Skoda,2019,"28,310 km",Petrol,Manual,"EMI ₹10,536/m*",₹5.97 lakh
93,Honda Amaze,Honda,2016,"92,676 km",Diesel,Manual,"EMI ₹8,295/m*",₹3.15 lakh
94,Maruti Dzire,Maruti,2020,"77,670 km",Petrol,Auto,"EMI ₹8,261/m*",₹4.68 lakh
95,Renault Kwid,Renault,2017,"44,636 km",Petrol,Auto,"EMI ₹4,262/m*",₹2.18 lakh
96,Maruti Swift,Maruti,2015,"83,737 km",Diesel,Manual,"EMI ₹11,990/m*",₹3.61 lakh
97,Tata NEXON,Tata,2019,"84,643 km",Petrol,Auto,"EMI ₹9,568/m*",₹5.42 lakh
98,Maruti Alto 800,Maruti,2015,"1,05,458 km",Petrol,Manual,"EMI ₹3,871/m*",₹1.47 lakh
