,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
764,Tata PUNCH,Tata,2021,"22,820 km",Petrol,Manual,"EMI ₹13,434/m*",₹7.61 lakh
765,Hyundai Eon,Hyundai,2015,"83,686 km",Petrol,Manual,"EMI ₹4,740/m*",₹1.80 lakh
766,Renault Duster,Renault,2016,"63,129 km",Diesel,Manual,"EMI ₹17,670/m*",₹6.71 lakh
767,Hyundai VENUE,Hyundai,2020,"40,397 km",Petrol,Manual,"EMI ₹12,886/m*",₹7.30 lakh
768,Tata ALTROZ,Tata,2022,"8,519 km",Petrol,Manual,"EMI ₹10,327/m*",₹5.85 lakh
769,Renault Duster,Renault,2020,"48,227 km",Petrol,Manual,"EMI ₹12,375/m*",₹7.01 lakh
770,Hyundai VENUE,Hyundai,2022,"1,11,976 km",Diesel,Manual,"EMI ₹20,677/m*",₹9.51 lakh
771,Maruti Ciaz,Maruti,2015,"64,318 km",Petrol,Manual,"EMI ₹8,875/m*",₹3.37 lakh
772,Hyundai Grand i10,Hyundai,2018,"82,064 km",Diesel,Manual,"EMI ₹5,376/m*",₹2.75 lakh
773,Hyundai Verna,Hyundai,2013,"90,457 km",Diesel,Manual,"EMI ₹27,010/m*",₹3.04 lakh
774,Chevrolet Beat,Chevrolet,2014,"98,096 km",Diesel,Manual,"EMI ₹4,566/m*",₹0.97 lakh
775,Maruti Swift Dzire,Maruti,2012,"71,235 km",Petrol,Manual,"EMI ₹15,815/m*",₹1.78 lakh
776,Ford Figo,Ford,2013,"9,458 km",Petrol,Manual,"EMI ₹5,602/m*",₹1.19 lakh
777,Ford Figo,Ford,2012,"1,61,580 km",Diesel,Manual,"EMI ₹5,602/m*",₹1.99 lakh
778,Audi A4,Audi,2017,"55,912 km",Petrol,Auto,"EMI ₹29,636/m*",₹15.57 lakh
779,Volkswagen Polo,Volkswagen,2020,"66,321 km",Petrol,Manual,"EMI ₹9,374/m*",₹5.31 lakh
780,Hyundai Eon,Hyundai,2015,"47,359 km",Petrol,Manual,"EMI ₹4,345/m*",₹1.65 lakh
781,Honda Jazz,Honda,2016,"59,539 km",Petrol,Manual,"EMI ₹7,118/m*",₹3.20 lakh
782,Tata NEXON,Tata,2018,"51,806 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
783,Mahindra XUV300,Mahindra,2020,"81,639 km",Diesel,Auto,"EMI ₹14,143/m*",₹8.26 lakh
784,Maruti BREZZA,Maruti,2022,"10,191 km",Petrol,Auto,"EMI ₹16,266/m*",₹9.50 lakh
785,Hyundai AURA,Hyundai,2021,"49,282 km",Petrol,Manual,"EMI ₹10,433/m*",₹5.91 lakh
786,Renault Kwid,Renault,2018,"30,076 km",Petrol,Auto,"EMI ₹5,949/m*",₹3.37 lakh
787,Maruti Alto K10,Maruti,2013,"57,933 km",Petrol,Manual,"EMI ₹11,543/m*",₹2.45 lakh
788,Maruti Swift,Maruti,2012,"50,704 km",Diesel,Manual,"EMI ₹11,543/m*",₹4.48 lakh
789,Hyundai i10,Hyundai,2014,"1,02,993 km",Petrol,Manual,"EMI ₹7,772/m*",₹2.34 lakh
790,MG HECTOR,MG,2021,"48,711 km",Petrol,Auto,"EMI ₹24,023/m*",₹14.03 lakh
791,Tata NEXON,Tata,2020,"81,816 km",Diesel,Manual,"EMI ₹11,898/m*",₹6.74 lakh
792,KIA SONET,KIA,2022,"34,273 km",Petrol,Manual,"EMI ₹14,126/m*",₹8.25 lakh
793,Volkswagen Vento,Volkswagen,2011,"87,500 km",Petrol,Manual,"EMI ₹14,126/m*",₹1.49 lakh
794,Renault Kwid,Renault,2019,"45,297 km",Petrol,Manual,"EMI ₹4,431/m*",₹2.51 lakh
795,Maruti Baleno,Maruti,2016,"1,03,797 km",Petrol,Manual,"EMI ₹10,299/m*",₹4.63 lakh
796,Renault Fluence,Renault,2011,"95,539 km",Petrol,Auto,"EMI ₹10,299/m*",₹2.22 lakh
797,KIA SONET,KIA,2020,"39,376 km",Petrol,Manual,"EMI ₹13,749/m*",₹8.03 lakh
798,Maruti Alto K10,Maruti,2018,"52,955 km",Petrol,Auto,"EMI ₹6,849/m*",₹3.88 lakh
799,Hyundai i10,Hyundai,2012,"51,010 km",Petrol,Manual,"EMI ₹26,655/m*",₹3.00 lakh
800,Hyundai Accent,Hyundai,2012,"33,687 km",Petrol,Manual,"EMI ₹18,125/m*",₹2.04 lakh
801,Maruti Alto 800,Maruti,2015,"1,19,823 km",Petrol,Manual,"EMI ₹4,608/m*",₹1.75 lakh
802,Tata Zest,Tata,2014,"63,221 km",Petrol,Manual,"EMI ₹5,281/m*",₹1.59 lakh
803,Maruti Alto 800,Maruti,2016,"1,10,876 km",Petrol,Manual,"EMI ₹5,227/m*",₹2.35 lakh
