,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
171,Volkswagen Vento,Volkswagen,2012,"1,14,830 km",Diesel,Manual,"EMI ₹6,841/m*",₹1.39 lakh
172,Hyundai Eon,Hyundai,2015,"56,686 km",Petrol,Manual,"EMI ₹3,897/m*",₹1.48 lakh
173,Hyundai i20,Hyundai,2012,"1,47,710 km",Diesel,Manual,"EMI ₹3,897/m*",₹1.55 lakh
174,Datsun Redi Go,Datsun,2017,"62,335 km",Petrol,Manual,"EMI ₹2,600/m*",₹1.33 lakh
175,Maruti Eeco,Maruti,2014,"1,80,824 km",Petrol,Manual,"EMI ₹7,606/m*",₹2.29 lakh
176,Hyundai Elite i20,Hyundai,2015,"80,306 km",Diesel,Manual,"EMI ₹12,621/m*",₹3.80 lakh
177,Maruti Alto,Maruti,2021,"53,416 km",Petrol,Manual,"EMI ₹4,996/m*",₹2.83 lakh
178,Hyundai Verna,Hyundai,2014,"77,471 km",Petrol,Manual,"EMI ₹9,533/m*",₹2.87 lakh
179,Nissan MAGNITE,Nissan,2022,"19,440 km",Petrol,Manual,"EMI ₹9,903/m*",₹5.61 lakh
180,Volkswagen Vento,Volkswagen,2012,"1,00,339 km",Diesel,Manual,"EMI ₹9,903/m*",₹1.51 lakh
181,Maruti Swift Dzire,Maruti,2013,"1,26,215 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
182,Chevrolet Sail UVA,Chevrolet,2012,"1,15,429 km",Diesel,Manual,"EMI ₹22,212/m*",₹1.24 lakh
183,Skoda Rapid,Skoda,2017,"2,12,420 km",Diesel,Auto,"EMI ₹13,124/m*",₹5.90 lakh
184,Tata NEXON,Tata,2017,"1,28,966 km",Diesel,Manual,"EMI ₹7,563/m*",₹3.40 lakh
185,Volkswagen Vento,Volkswagen,2015,"1,20,345 km",Petrol,Auto,"EMI ₹6,662/m*",₹2.53 lakh
186,Maruti Eeco,Maruti,2020,"27,681 km",Petrol,Manual,"EMI ₹8,156/m*",₹4.62 lakh
187,Hyundai Elite i20,Hyundai,2018,"78,623 km",Petrol,Manual,"EMI ₹6,867/m*",₹3.89 lakh
188,Maruti Alto K10,Maruti,2024,"9,369 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
189,Hyundai i10,Hyundai,2011,"84,113 km",Petrol,Manual,"EMI ₹6,796/m*",₹1.22 lakh
190,Mahindra Kuv100,Mahindra,2015,"70,063 km",Diesel,Manual,"EMI ₹4,584/m*",₹1.38 lakh
191,Toyota Innova,Toyota,2010,"1,68,954 km",Diesel,Manual,"EMI ₹4,584/m*",₹2.22 lakh
192,Tata Indigo ECS,Tata,2013,"2,43,092 km",Diesel,Manual,"EMI ₹10,775/m*",₹1.21 lakh
193,Fiat Punto EVO,Fiat,2014,"61,907 km",Petrol,Manual,"EMI ₹2,890/m*",₹0.87 lakh
194,Maruti Alto K10,Maruti,2012,"1,39,016 km",Petrol,Manual,"EMI ₹8,529/m*",₹0.96 lakh
195,Tata Indica Vista,Tata,2012,"1,39,563 km",Diesel,Manual,"EMI ₹8,529/m*",₹1.17 lakh
196,Hyundai Elite i20,Hyundai,2019,"1,20,832 km",Petrol,Manual,"EMI ₹10,166/m*",₹4.57 lakh
197,Maruti Wagon R 1.0,Maruti,2012,"54,155 km",Petrol,Manual,"EMI ₹14,038/m*",₹1.58 lakh
198,Maruti Celerio,Maruti,2019,"73,357 km",Petrol,Manual,"EMI ₹4,643/m*",₹2.63 lakh
199,Jeep Compass,Jeep,2017,"1,88,308 km",Diesel,Manual,"EMI ₹13,347/m*",₹6.00 lakh
200,Hyundai i10,Hyundai,2013,"2,14,245 km",Petrol,Manual,"EMI ₹9,085/m*",₹1.93 lakh
201,Volkswagen Vento,Volkswagen,2011,"1,18,201 km",Petrol,Manual,"EMI ₹9,085/m*",₹1.00 lakh
202,Nissan Micra,Nissan,2014,"75,157 km",Diesel,Manual,"EMI ₹7,579/m*",₹1.61 lakh
203,Hyundai i20,Hyundai,2013,"30,611 km",Petrol,Manual,"EMI ₹9,980/m*",₹2.12 lakh
204,MG ASTOR,MG,2023,"42,302 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
205,Honda Brio,Honda,2014,"36,350 km",Petrol,Manual,"EMI ₹7,407/m*",₹2.23 lakh
206,Maruti Swift,Maruti,2019,"28,931 km",Petrol,Manual,"EMI ₹8,932/m*",₹5.06 lakh
207,Renault TRIBER,Renault,2021,"1,60,229 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
208,Skoda Rapid,Skoda,2012,"10,489 km",Diesel,Manual,"EMI ₹10,010/m*",₹1.92 lakh
209,Maruti Ciaz,Maruti,2017,"1,24,681 km",Petrol,Manual,"EMI ₹10,054/m*",₹4.52 lakh
210,Honda Mobilio,Honda,2014,"1,28,000 km",Diesel,Manual,"EMI ₹14,122/m*",₹3.00 lakh
211,Honda City,Honda,2022,"1,11,912 km",Petrol,Manual,"EMI ₹12,835/m*",₹5.77 lakh
212,Hyundai i10,Hyundai,2013,"83,900 km",Petrol,Manual,"EMI ₹8,285/m*",₹1.76 lakh
213,Hyundai Grand i10,Hyundai,2014,"79,786 km",Petrol,Manual,"EMI ₹7,706/m*",₹2.32 lakh
214,Tata Harrier,Tata,2022,"56,671 km",Diesel,Auto,"EMI ₹23,852/m*",₹13.93 lakh
215,Maruti Eeco,Maruti,2011,"1,29,737 km",Petrol,Manual,"EMI ₹23,852/m*",₹1.35 lakh
216,Toyota Innova Crysta,Toyota,2018,"89,895 km",Diesel,Manual,"EMI ₹19,262/m*",₹10.12 lakh
217,Maruti New Wagon-R,Maruti,2020,"54,000 km",Petrol,Manual,"EMI ₹6,373/m*",₹3.61 lakh
218,Mahindra TUV300,Mahindra,2016,"93,379 km",Diesel,Manual,"EMI ₹8,875/m*",₹3.37 lakh
219,Skoda Rapid,Skoda,2017,"1,78,469 km",Diesel,Auto,"EMI ₹13,725/m*",₹6.17 lakh
220,MG HECTOR,MG,2019,"97,572 km",Petrol,Manual,"EMI ₹12,233/m*",₹6.93 lakh
221,Maruti Vitara Brezza,Maruti,2017,"83,714 km",Diesel,Manual,"EMI ₹10,032/m*",₹4.51 lakh
222,Maruti Wagon R 1.0,Maruti,2017,"65,300 km",Petrol,Manual,"EMI ₹4,809/m*",₹2.46 lakh
223,Volkswagen Vento,Volkswagen,2016,"1,28,938 km",Diesel,Auto,"EMI ₹9,480/m*",₹3.60 lakh
224,Toyota Etios,Toyota,2011,"72,737 km",Petrol,Manual,"EMI ₹9,480/m*",₹1.43 lakh
225,Hyundai Grand i10,Hyundai,2015,"75,069 km",Diesel,Manual,"EMI ₹9,234/m*",₹2.78 lakh
226,Tata Tiago,Tata,2018,"1,73,732 km",Petrol,Manual,"EMI ₹6,940/m*",₹3.12 lakh
