,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
224,Maruti Baleno,Maruti,2020,"33,293 km",Petrol,Manual,"EMI ₹10,256/m*",₹5.81 lakh
225,Maruti Grand Vitara,Maruti,2023,"26,441 km",Petrol,Auto,"EMI ₹24,999/m*",₹14.60 lakh
226,Tata Tiago,Tata,2021,"22,783 km",Petrol,Manual,"EMI ₹7,321/m*",₹4.15 lakh
227,Hyundai i20 Active,Hyundai,2018,"57,016 km",Petrol,Manual,"EMI ₹7,502/m*",₹4.25 lakh
228,Tata Tiago,Tata,2019,"57,110 km",Petrol,Manual,"EMI ₹6,637/m*",₹3.76 lakh
229,Hyundai Creta,Hyundai,2023,"26,195 km",Petrol,Manual,"EMI ₹20,992/m*",₹12.26 lakh
230,MG HECTOR PLUS,MG,2024,"21,202 km",Diesel,Manual,"EMI ₹37,310/m*",₹21.79 lakh
231,Honda City,Honda,2015,"27,150 km",Petrol,Manual,"EMI ₹11,113/m*",₹4.22 lakh
232,Honda City,Honda,2017,"57,884 km",Petrol,Manual,"EMI ₹10,225/m*",₹5.23 lakh
233,Maruti Baleno,Maruti,2022,"20,705 km",Petrol,Manual,"EMI ₹12,516/m*",₹7.09 lakh
234,Honda Amaze,Honda,2020,"2,67,879 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
235,Tata PUNCH,Tata,2021,"31,975 km",Petrol,Auto,"EMI ₹14,999/m*",₹8.76 lakh
236,Tata ALTROZ,Tata,2023,"9,434 km",Petrol,Manual,"EMI ₹12,604/m*",₹7.14 lakh
237,Hyundai Creta,Hyundai,2020,"7,157 km",Diesel,Manual,"EMI ₹24,810/m*",₹14.49 lakh
238,Maruti Vitara Brezza,Maruti,2021,"44,684 km",Petrol,Manual,"EMI ₹11,986/m*",₹6.79 lakh
239,Jeep Compass,Jeep,2018,"74,708 km",Diesel,Manual,"EMI ₹21,528/m*",₹11.31 lakh
240,Ford Ecosport,Ford,2018,"62,721 km",Diesel,Manual,"EMI ₹10,518/m*",₹5.38 lakh
241,Renault Duster,Renault,2013,"1,38,492 km",Diesel,Manual,"EMI ₹29,142/m*",₹3.28 lakh
242,KIA SELTOS,KIA,2022,"19,535 km",Petrol,Manual,"EMI ₹22,482/m*",₹13.13 lakh
243,Maruti IGNIS,Maruti,2023,"26,492 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
244,Mahindra XUV500,Mahindra,2018,"82,651 km",Diesel,Manual,"EMI ₹20,747/m*",₹10.90 lakh
245,Maruti Ciaz,Maruti,2019,"40,279 km",Petrol,Manual,"EMI ₹10,856/m*",₹6.15 lakh
246,Tata PUNCH,Tata,2021,"43,622 km",Petrol,Manual,"EMI ₹9,815/m*",₹5.56 lakh
247,Maruti Celerio,Maruti,2022,"66,180 km",Petrol,Manual,"EMI ₹8,297/m*",₹4.70 lakh
248,Mahindra XUV300,Mahindra,2023,"30,835 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
