,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
1291,Maruti Ertiga,Maruti,2015,"53,617 km",Petrol,Manual,"EMI ₹14,668/m*",₹5.57 lakh
1292,Ford Figo,Ford,2011,"1,05,624 km",Petrol,Manual,"EMI ₹14,668/m*",₹0.90 lakh
1293,Hyundai Creta,Hyundai,2019,"98,915 km",Petrol,Manual,"EMI ₹13,045/m*",₹7.39 lakh
1294,Honda City,Honda,2015,"73,488 km",Petrol,Manual,"EMI ₹10,033/m*",₹3.81 lakh
1295,Honda Amaze,Honda,2022,"11,754 km",Petrol,Manual,"EMI ₹11,774/m*",₹6.67 lakh
1296,Renault Duster,Renault,2014,"70,112 km",Diesel,Manual,"EMI ₹16,099/m*",₹3.42 lakh
1297,Hyundai VENUE,Hyundai,2020,"17,832 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
1298,Honda City,Honda,2019,"54,338 km",Petrol,Auto,"EMI ₹10,592/m*",₹6.00 lakh
1299,Hyundai Grand i10,Hyundai,2014,"54,500 km",Petrol,Auto,"EMI ₹9,964/m*",₹3.00 lakh
1300,Skoda Octavia,Skoda,2018,"1,28,378 km",Diesel,Auto,"EMI ₹18,959/m*",₹8.72 lakh
1301,Ford Ecosport,Ford,2019,"73,937 km",Petrol,Auto,"EMI ₹10,768/m*",₹6.10 lakh
1302,Audi A4,Audi,2011,"53,000 km",Petrol,Auto,"EMI ₹10,768/m*",₹3.75 lakh
1303,Nissan MAGNITE,Nissan,2021,"29,214 km",Petrol,Manual,"EMI ₹9,021/m*",₹5.11 lakh
1304,Skoda Rapid,Skoda,2020,"69,996 km",Petrol,Auto,"EMI ₹12,057/m*",₹6.83 lakh
1305,Tata NEXON,Tata,2022,"46,435 km",Petrol,Manual,"EMI ₹13,787/m*",₹7.81 lakh
1306,Mahindra XUV500,Mahindra,2012,"1,23,424 km",Diesel,Manual,"EMI ₹13,787/m*",₹3.00 lakh
1307,Mahindra XUV500,Mahindra,2015,"1,53,199 km",Diesel,Manual,"EMI ₹18,766/m*",₹5.65 lakh
1308,Skoda Rapid,Skoda,2017,"25,642 km",Petrol,Auto,"EMI ₹20,328/m*",₹10.68 lakh
1309,Mahindra BOLERO NEO,Mahindra,2024,"17,596 km",Diesel,Manual,"EMI ₹14,691/m*",₹8.58 lakh
1310,Maruti Ertiga,Maruti,2016,"1,13,121 km",Petrol,Manual,"EMI ₹12,123/m*",₹5.45 lakh
1311,Mitsubishi Outlander,Mitsubishi,2012,"1,19,930 km",Petrol,Auto,"EMI ₹33,763/m*",₹3.80 lakh
1312,Hyundai Grand i10,Hyundai,2019,"93,691 km",Petrol,Manual,"EMI ₹6,214/m*",₹3.52 lakh
1313,Hyundai Grand i10,Hyundai,2019,"1,08,266 km",Petrol,Manual,"EMI ₹7,941/m*",₹3.57 lakh
1314,Ford Ecosport,Ford,2014,"2,67,588 km",Diesel,Manual,"EMI ₹15,346/m*",₹3.26 lakh
1315,Honda WR-V,Honda,2018,"70,456 km",Petrol,Manual,"EMI ₹8,103/m*",₹4.59 lakh
1316,Hyundai Creta,Hyundai,2017,"33,250 km",Petrol,Manual,"EMI ₹13,079/m*",₹6.69 lakh
1317,Maruti Ertiga,Maruti,2017,"44,056 km",Petrol,Manual,"EMI ₹13,372/m*",₹6.84 lakh
1318,Honda Mobilio,Honda,2015,"1,59,914 km",Petrol,Manual,"EMI ₹8,005/m*",₹3.04 lakh
1319,Maruti S PRESSO,Maruti,2021,"77,062 km",Petrol,Manual,"EMI ₹5,984/m*",₹3.39 lakh
1320,Toyota Corolla Altis,Toyota,2016,"58,709 km",Petrol,Auto,"EMI ₹12,079/m*",₹5.43 lakh
1321,Maruti Ciaz,Maruti,2017,"35,643 km",Petrol,Auto,"EMI ₹10,420/m*",₹5.33 lakh
1322,Maruti New Wagon-R,Maruti,2019,"40,801 km",Petrol,Manual,"EMI ₹7,273/m*",₹4.12 lakh
1323,Ford Ecosport,Ford,2018,"77,400 km",Petrol,Auto,"EMI ₹8,720/m*",₹4.94 lakh
1324,Hyundai Creta,Hyundai,2019,"26,800 km",Petrol,Manual,"EMI ₹12,057/m*",₹6.83 lakh
1325,Maruti Ertiga,Maruti,2019,"78,882 km",Petrol,Manual,"EMI ₹13,716/m*",₹7.77 lakh
1326,Honda City,Honda,2017,"1,24,000 km",Petrol,Manual,"EMI ₹11,100/m*",₹4.99 lakh
1327,Skoda Superb,Skoda,2016,"89,376 km",Petrol,Auto,"EMI ₹16,305/m*",₹7.33 lakh
1328,Tata NEXON EV,Tata,2023,"17,762 km",Electric,Auto,"EMI ₹18,287/m*",₹10.68 lakh
1329,Maruti Swift,Maruti,2021,"33,000 km",Petrol,Auto,"EMI ₹9,636/m*",₹5.46 lakh
1330,Maruti Ertiga,Maruti,2012,"1,28,831 km",Diesel,Manual,"EMI ₹9,636/m*",₹3.70 lakh
1331,Maruti Ertiga,Maruti,2014,"1,70,326 km",Diesel,Manual,"EMI ₹18,829/m*",₹4.00 lakh
1332,Maruti Ertiga,Maruti,2013,"1,38,003 km",Petrol,Manual,"EMI ₹16,946/m*",₹3.60 lakh
1333,Renault Kwid,Renault,2021,"6,097 km",Petrol,Auto,"EMI ₹6,955/m*",₹3.94 lakh
1334,Tata Safari,Tata,2014,"1,71,830 km",Diesel,Manual,"EMI ₹12,051/m*",₹2.56 lakh
1335,Honda WR-V,Honda,2017,"1,01,200 km",Diesel,Manual,"EMI ₹10,455/m*",₹4.70 lakh
1336,Honda City,Honda,2014,"94,785 km",Petrol,Auto,"EMI ₹11,127/m*",₹3.35 lakh
1337,Mahindra XUV500,Mahindra,2011,"1,04,510 km",Diesel,Manual,"EMI ₹11,127/m*",₹2.49 lakh
1338,Jeep Compass,Jeep,2017,"80,629 km",Diesel,Manual,"EMI ₹14,459/m*",₹6.50 lakh
1339,Honda City,Honda,2014,"92,552 km",Petrol,Manual,"EMI ₹11,127/m*",₹3.35 lakh
1340,Maruti New Wagon-R,Maruti,2019,"26,260 km",Petrol,Manual,"EMI ₹7,238/m*",₹4.10 lakh
1341,Tata NEXON,Tata,2021,"63,051 km",Petrol,Manual,"EMI ₹11,827/m*",₹6.70 lakh
1342,Honda CRV,Honda,2014,"94,458 km",Petrol,Manual,"EMI ₹15,179/m*",₹4.57 lakh
1343,Tata NEXON,Tata,2023,"28,191 km",Diesel,Auto,"EMI ₹20,684/m*",₹12.08 lakh
1344,Mahindra XUV300,Mahindra,2019,"47,149 km",Diesel,Manual,"EMI ₹12,233/m*",₹6.93 lakh
1345,Tata Hexa,Tata,2018,"87,398 km",Diesel,Auto,"EMI ₹13,451/m*",₹6.88 lakh
1346,Tata NEXON EV,Tata,2022,"50,410 km",Electric,Auto,"EMI ₹11,880/m*",₹6.73 lakh
1347,Maruti Ciaz,Maruti,2015,"90,288 km",Petrol,Auto,"EMI ₹9,059/m*",₹3.44 lakh
1348,Maruti New Wagon-R,Maruti,2021,"46,069 km",Petrol,Manual,"EMI ₹8,138/m*",₹4.61 lakh
1349,Tata NEXON,Tata,2023,"47,846 km",Petrol,Auto,"EMI ₹16,711/m*",₹9.76 lakh
1350,Maruti Wagon R 1.0,Maruti,2011,"28,843 km",Petrol,Manual,"EMI ₹16,711/m*",₹1.45 lakh
1351,Jeep Compass,Jeep,2017,"78,607 km",Diesel,Manual,"EMI ₹14,348/m*",₹6.45 lakh
1352,Tata NEXON,Tata,2023,"42,935 km",Petrol,Manual,"EMI ₹12,233/m*",₹6.93 lakh
1353,Tata NEXON,Tata,2021,"13,155 km",Petrol,Auto,"EMI ₹13,893/m*",₹7.87 lakh
1354,Hyundai Creta,Hyundai,2016,"63,030 km",Petrol,Manual,"EMI ₹13,347/m*",₹6.00 lakh
1355,Hyundai Elite i20,Hyundai,2017,"1,44,797 km",Petrol,Manual,"EMI ₹8,097/m*",₹3.64 lakh
1356,Maruti Wagon R Stingray,Maruti,2014,"69,145 km",Petrol,Manual,"EMI ₹9,234/m*",₹2.78 lakh
1357,Maruti Ertiga,Maruti,2015,"1,41,065 km",Petrol,Manual,"EMI ₹13,167/m*",₹5.00 lakh
1358,Hyundai Creta,Hyundai,2016,"76,039 km",Diesel,Auto,"EMI ₹19,039/m*",₹7.23 lakh
1359,Maruti Celerio,Maruti,2015,"37,575 km",Petrol,Auto,"EMI ₹7,637/m*",₹2.90 lakh
1360,Tata PUNCH,Tata,2024,"74,691 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
1361,Tata Tiago,Tata,2022,"92,500 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
1362,Maruti Ertiga,Maruti,2021,"46,380 km",Petrol,Manual,"EMI ₹15,581/m*",₹9.10 lakh
1363,Maruti Ertiga,Maruti,2018,"2,10,751 km",Petrol,Manual,"EMI ₹13,792/m*",₹6.20 lakh
1364,KIA SONET,KIA,2021,"36,877 km",Petrol,Manual,"EMI ₹12,498/m*",₹7.08 lakh
1365,Maruti Ciaz,Maruti,2019,"75,380 km",Petrol,Manual,"EMI ₹9,109/m*",₹5.16 lakh
1366,Maruti FRONX,Maruti,2024,"3,218 km",Petrol,Auto,"EMI ₹18,167/m*",₹10.61 lakh
1367,ISUZU MU-7,ISUZU,2015,"1,56,145 km",Diesel,Auto,"EMI ₹19,464/m*",₹5.86 lakh
1368,Ford Ecosport,Ford,2018,"1,07,608 km",Petrol,Auto,"EMI ₹10,722/m*",₹4.82 lakh
1369,Hyundai GRAND I10 NIOS,Hyundai,2022,"30,644 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
1370,Hyundai Grand i10,Hyundai,2018,"35,081 km",Petrol,Auto,"EMI ₹7,732/m*",₹4.38 lakh
1371,Maruti Ertiga,Maruti,2015,"82,035 km",Petrol,Manual,"EMI ₹10,270/m*",₹3.90 lakh
1372,Honda City,Honda,2021,"46,365 km",Petrol,Auto,"EMI ₹15,855/m*",₹9.26 lakh
1373,Maruti Celerio,Maruti,2022,"20,765 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
1374,Ford Ecosport,Ford,2015,"75,722 km",Diesel,Manual,"EMI ₹12,754/m*",₹3.84 lakh
1375,Honda Amaze,Honda,2022,"59,233 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
1376,Toyota Innova,Toyota,2015,"1,49,942 km",Diesel,Manual,"EMI ₹21,722/m*",₹6.54 lakh
1377,MG ASTOR,MG,2023,"17,550 km",Petrol,Auto,"EMI ₹19,263/m*",₹11.25 lakh
1378,Hyundai Elite i20,Hyundai,2016,"1,30,167 km",Petrol,Manual,"EMI ₹6,896/m*",₹3.10 lakh
1379,Maruti Celerio,Maruti,2016,"22,199 km",Petrol,Auto,"EMI ₹7,363/m*",₹3.31 lakh
1380,KIA SELTOS,KIA,2023,"25,593 km",Diesel,Auto,"EMI ₹25,119/m*",₹14.67 lakh
1381,Maruti FRONX,Maruti,2023,"12,500 km",Petrol,Manual,"EMI ₹12,886/m*",₹7.30 lakh
1382,Mahindra XUV500,Mahindra,2013,"63,522 km",Diesel,Manual,"EMI ₹29,320/m*",₹3.30 lakh
1383,Maruti Ertiga,Maruti,2012,"1,36,904 km",Diesel,Manual,"EMI ₹29,320/m*",₹3.86 lakh
1384,Maruti Baleno,Maruti,2018,"51,845 km",Petrol,Manual,"EMI ₹6,938/m*",₹3.93 lakh
1385,Maruti Swift,Maruti,2025,"7,293 km",Petrol,Manual,"EMI ₹12,498/m*",₹7.08 lakh
1386,Hyundai Creta,Hyundai,2021,"33,658 km",Petrol,Manual,"EMI ₹16,968/m*",₹9.91 lakh
1387,Maruti S Cross,Maruti,2015,"71,917 km",Diesel,Manual,"EMI ₹13,917/m*",₹4.19 lakh
1388,Hyundai Elite i20,Hyundai,2015,"87,805 km",Petrol,Manual,"EMI ₹8,805/m*",₹3.34 lakh
1389,Honda City,Honda,2015,"1,54,056 km",Petrol,Manual,"EMI ₹9,217/m*",₹3.50 lakh
1390,Maruti New Wagon-R,Maruti,2022,"77,249 km",Petrol,Manual,"EMI ₹9,074/m*",₹5.14 lakh
1391,Tata NEXON,Tata,2022,"63,092 km",Petrol,Auto,"EMI ₹12,586/m*",₹7.13 lakh
1392,Skoda Superb,Skoda,2016,"92,305 km",Diesel,Auto,"EMI ₹23,209/m*",₹8.98 lakh
1393,Hyundai GRAND I10 NIOS,Hyundai,2024,"3,863 km",Petrol,Auto,"EMI ₹12,057/m*",₹6.83 lakh
1394,Renault Kwid,Renault,2023,"5,072 km",Petrol,Auto,"EMI ₹8,473/m*",₹4.80 lakh
1395,Maruti Celerio,Maruti,2023,"10,403 km",Petrol,Manual,"EMI ₹8,120/m*",₹4.60 lakh
1396,Maruti Dzire,Maruti,2018,"70,967 km",Petrol,Auto,"EMI ₹7,785/m*",₹4.41 lakh
1397,Skoda Superb,Skoda,2022,"10,387 km",Petrol,Auto,"EMI ₹43,149/m*",₹25.20 lakh
1398,Hyundai VENUE,Hyundai,2019,"86,657 km",Petrol,Auto,"EMI ₹12,145/m*",₹6.88 lakh
1399,Maruti Ertiga,Maruti,2021,"79,720 km",Petrol,Manual,"EMI ₹15,479/m*",₹9.04 lakh
1400,Tata ALTROZ,Tata,2023,"20,939 km",Petrol,Manual,"EMI ₹10,609/m*",₹6.01 lakh
1401,Maruti Baleno,Maruti,2018,"75,825 km",Petrol,Auto,"EMI ₹7,185/m*",₹4.07 lakh
1402,Tata NEXON,Tata,2023,"17,397 km",Petrol,Auto,"EMI ₹14,143/m*",₹8.26 lakh
1403,Maruti Ertiga,Maruti,2013,"1,81,687 km",Diesel,Manual,"EMI ₹37,316/m*",₹4.20 lakh
1404,Maruti Ertiga,Maruti,2016,"67,241 km",Petrol,Manual,"EMI ₹13,458/m*",₹6.05 lakh
1405,Mahindra XUV300,Mahindra,2022,"27,000 km",Petrol,Manual,"EMI ₹11,545/m*",₹6.54 lakh
1406,Skoda Octavia,Skoda,2016,"92,574 km",Petrol,Auto,"EMI ₹12,768/m*",₹5.74 lakh
1407,Maruti Ertiga,Maruti,2017,"1,14,374 km",Petrol,Manual,"EMI ₹13,124/m*",₹5.90 lakh
1408,Hyundai Creta,Hyundai,2016,"61,250 km",Petrol,Auto,"EMI ₹14,459/m*",₹6.50 lakh
1409,Mahindra Xylo,Mahindra,2015,"1,16,233 km",Diesel,Manual,"EMI ₹10,429/m*",₹3.14 lakh
1410,Honda Mobilio,Honda,2014,"1,10,728 km",Diesel,Manual,"EMI ₹16,711/m*",₹3.55 lakh
1411,Hyundai GRAND I10 NIOS,Hyundai,2022,"79,000 km",Petrol,Manual,"EMI ₹9,356/m*",₹5.30 lakh
1412,Hyundai Grand i10,Hyundai,2017,"35,216 km",Petrol,Manual,"EMI ₹6,569/m*",₹3.36 lakh
1413,Hyundai Creta,Hyundai,2020,"13,736 km",Petrol,Auto,"EMI ₹18,835/m*",₹11.00 lakh
1414,Maruti Ciaz,Maruti,2015,"1,46,580 km",Diesel,Manual,"EMI ₹13,718/m*",₹4.13 lakh
1415,Hyundai Elite i20,Hyundai,2018,"1,25,752 km",Petrol,Manual,"EMI ₹9,521/m*",₹4.28 lakh
1416,Hyundai VENUE,Hyundai,2021,"15,800 km",Petrol,Manual,"EMI ₹13,593/m*",₹7.70 lakh
1417,Toyota Fortuner,Toyota,2012,"1,87,101 km",Diesel,Manual,"EMI ₹13,593/m*",₹8.06 lakh
1418,Ford Ecosport,Ford,2017,"1,00,982 km",Diesel,Manual,"EMI ₹11,211/m*",₹5.04 lakh
1419,Toyota YARIS,Toyota,2018,"64,960 km",Petrol,Auto,"EMI ₹9,886/m*",₹5.60 lakh
