,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
115,Ford Ecosport,Ford,2017,"1,41,436 km",Diesel,Manual,"EMI ₹9,231/m*",₹4.15 lakh
116,Mahindra XUV700,Mahindra,2021,"52,773 km",Diesel,Auto,"EMI ₹26,540/m*",₹15.50 lakh
117,KIA SELTOS,KIA,2021,"69,196 km",Petrol,Manual,"EMI ₹14,040/m*",₹8.20 lakh
118,Maruti IGNIS,Maruti,2017,"73,000 km",Petrol,Manual,"EMI ₹6,276/m*",₹3.21 lakh
119,Hyundai Creta,Hyundai,2015,"1,37,664 km",Diesel,Manual,"EMI ₹16,607/m*",₹5.00 lakh
120,Maruti Ciaz,Maruti,2014,"99,283 km",Diesel,Manual,"EMI ₹14,499/m*",₹3.08 lakh
121,Volkswagen VIRTUS,Volkswagen,2025,"10,165 km",Petrol,Manual,"EMI ₹17,893/m*",₹10.45 lakh
122,Maruti Vitara Brezza,Maruti,2018,"1,32,359 km",Diesel,Manual,"EMI ₹12,056/m*",₹5.42 lakh
123,Mahindra SCORPIO-N,Mahindra,2024,"35,727 km",Diesel,Auto,"EMI ₹28,149/m*",₹16.44 lakh
124,Maruti Vitara Brezza,Maruti,2020,"1,06,147 km",Petrol,Manual,"EMI ₹12,902/m*",₹5.80 lakh
125,Tata ALTROZ,Tata,2022,"22,000 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
126,Honda WR-V,Honda,2018,"77,675 km",Petrol,Manual,"EMI ₹7,273/m*",₹4.12 lakh
127,BMW X1,BMW,2017,"90,000 km",Diesel,Auto,"EMI ₹26,091/m*",₹12.00 lakh
128,KIA CARENS,KIA,2022,"23,561 km",Petrol,Manual,"EMI ₹15,924/m*",₹9.30 lakh
129,Maruti Vitara Brezza,Maruti,2021,"52,324 km",Petrol,Manual,"EMI ₹10,945/m*",₹6.20 lakh
130,Ford Endeavour,Ford,2021,"86,150 km",Diesel,Auto,"EMI ₹44,484/m*",₹25.98 lakh
131,Mahindra XUV500,Mahindra,2019,"75,503 km",Diesel,Auto,"EMI ₹15,410/m*",₹9.00 lakh
132,KIA SELTOS,KIA,2023,"40,054 km",Diesel,Manual,"EMI ₹20,615/m*",₹12.04 lakh
133,Skoda SLAVIA,Skoda,2024,"7,885 km",Petrol,Manual,"EMI ₹20,598/m*",₹12.03 lakh
134,Hyundai Creta,Hyundai,2015,"1,87,959 km",Diesel,Manual,"EMI ₹16,607/m*",₹5.00 lakh
135,Hyundai Creta,Hyundai,2022,"82,532 km",Diesel,Manual,"EMI ₹18,749/m*",₹10.95 lakh
136,Skoda SLAVIA,Skoda,2022,"45,394 km",Petrol,Manual,"EMI ₹14,554/m*",₹8.50 lakh
137,Mahindra XUV500,Mahindra,2017,"1,47,846 km",Diesel,Manual,"EMI ₹13,636/m*",₹6.13 lakh
