car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Creta,Hyundai,2019,45403,Petrol,Manual,11615,658000.0
Hyundai Creta,Hyundai,2018,124513,Petrol,Auto,12679,570000.0
Hyundai i10,Hyundai,2013,32147,Petrol,Manual,12616,268000.0
Honda Jazz,Honda,2015,92650,Petrol,Auto,8796,334000.0
Hyundai Grand i10,Hyundai,2018,115563,Petrol,Manual,7185,323000.0
Tata ALTROZ,Tata,2022,31146,Petrol,Manual,10062,570000.0
Maruti Baleno,Maruti,2021,37741,Petrol,Manual,11793,668000.0
Hyundai VENUE,Hyundai,2023,17044,Petrol,Manual,14069,797000.0
Tata NEXON,Tata,2022,17364,Petrol,Auto,12975,735000.0
Honda Amaze,Honda,2015,81136,Petrol,Manual,8479,322000.0
Maruti Wagon R 1.0,Maruti,2016,91702,Petrol,Auto,6117,275000.0
Mahindra XUV300,Mahindra,2024,17821,Petrol,Auto,15902,928999.9999999999
Hyundai Grand i10,Hyundai,2019,32859,Petrol,Manual,7732,438000.0
Maruti Alto 800,Maruti,2014,37894,Petrol,Manual,6743,202999.99999999997
Honda Amaze,Honda,2018,65604,Diesel,Manual,9931,508000.0
Honda Amaze,Honda,2023,40416,Petrol,Manual,11192,634000.0
Maruti Wagon R 1.0,Maruti,2016,51859,Petrol,Auto,6295,283000.0
Tata Tiago,Tata,2018,128118,Petrol,Manual,6718,302000.0
Maruti Dzire,Maruti,2020,49400,Petrol,Manual,10097,572000.0
Honda City,Honda,2018,92063,Petrol,Manual,9674,548000.0
Maruti Wagon R 1.0,Maruti,2017,35930,Petrol,Manual,6745,345000.0
Renault Duster,Renault,2017,42528,Petrol,Manual,10753,550000.0
Tata NEXON,Tata,2018,41732,Petrol,Manual,10380,588000.0
Honda City,Honda,2014,59486,Petrol,Auto,14907,449000.0
KIA SONET,KIA,2020,74360,Petrol,Manual,11121,630000.0
Tata Tiago,Tata,2018,66197,Petrol,Manual,6073,344000.0
Hyundai Grand i10,Hyundai,2015,95057,Petrol,Manual,8027,305000.0
Renault Kwid,Renault,2023,26446,Petrol,Auto,7591,430000.0
Honda City,Honda,2015,104537,Petrol,Manual,11771,447000.0
Honda City,Honda,2020,57917,Petrol,Auto,13012,737000.0
Hyundai Creta,Hyundai,2018,110316,Petrol,Manual,14259,641000.0
Volkswagen Ameo,Volkswagen,2019,111009,Diesel,Auto,10433,469000.00000000006
Tata Tiago,Tata,2018,43222,Petrol,Manual,6524,370000.0
Tata Tiago,Tata,2018,62913,Petrol,Auto,6849,388000.0
Ford Ecosport,Ford,2021,21168,Petrol,Manual,13063,740000.0
Hyundai NEW SANTRO,Hyundai,2020,36748,Petrol,Auto,7008,397000.0
Maruti IGNIS,Maruti,2021,112107,Petrol,Manual,9231,415000.00000000006
Maruti Alto K10,Maruti,2014,34789,Petrol,Auto,7075,213000.0
Maruti Alto 800,Maruti,2014,43217,Petrol,Manual,6809,204999.99999999997
Tata NEXON,Tata,2021,92325,Diesel,Manual,11139,631000.0
Honda City,Honda,2014,46662,Petrol,Auto,13751,413999.99999999994
Maruti New Wagon-R,Maruti,2020,45744,Petrol,Manual,8245,467000.0
Hyundai Grand i10,Hyundai,2019,27445,Petrol,Manual,8175,463000.0
KIA SONET,KIA,2023,11111,Petrol,Auto,16438,960000.0
Hyundai VENUE,Hyundai,2023,43845,Petrol,Auto,15068,880000.0000000001
Hyundai VENUE,Hyundai,2021,105889,Diesel,Manual,15438,694000.0
Maruti Dzire,Maruti,2022,49916,Petrol,Auto,11071,627000.0
Hyundai Grand i10,Hyundai,2016,77055,Petrol,Manual,7341,330000.0
Maruti Swift,Maruti,2016,57190,Petrol,Manual,9346,420000.0
Maruti S Cross,Maruti,2021,90927,Petrol,Manual,10909,618000.0
Hyundai NEW SANTRO,Hyundai,2021,71159,Petrol,Auto,7679,434999.99999999994
Mahindra XUV500,Mahindra,2018,100421,Diesel,Auto,23569,1084000.0
Skoda SLAVIA,Skoda,2022,20638,Petrol,Auto,19759,1154000.0
Hyundai Grand i10,Hyundai,2016,70797,Petrol,Manual,7674,345000.0
Hyundai NEW SANTRO,Hyundai,2019,55958,Petrol,Auto,6262,355000.0
Honda Amaze,Honda,2015,67991,Petrol,Manual,9717,369000.0
Hyundai NEW SANTRO,Hyundai,2021,75804,Petrol,Auto,7869,446000.0
Tata NEXON,Tata,2019,143731,Diesel,Auto,11678,525000.0
Maruti Celerio,Maruti,2017,42390,Petrol,Auto,7234,370000.0
Hyundai NEW SANTRO,Hyundai,2018,44753,Petrol,Manual,6020,341000.0
Hyundai Elite i20,Hyundai,2019,33108,Petrol,Auto,11249,637000.0
Hyundai Grand i10,Hyundai,2015,64394,Petrol,Auto,8190,311000.0
Hyundai Elite i20,Hyundai,2015,52439,Petrol,Manual,12416,471000.0
Maruti Alto K10,Maruti,2023,35580,Petrol,Manual,7338,416000.0
Tata ALTROZ,Tata,2021,61416,Petrol,Manual,10239,580000.0
Honda Jazz,Honda,2018,55314,Petrol,Manual,7803,442000.0
Hyundai i10,Hyundai,2016,63253,Petrol,Manual,6184,278000.0
Hyundai Elite i20,Hyundai,2018,63188,Petrol,Auto,10609,601000.0
Honda Jazz,Honda,2017,57503,Petrol,Auto,8993,459999.99999999994
Ford Ecosport,Ford,2014,117219,Diesel,Manual,16099,342000.0
Hyundai Elite i20,Hyundai,2018,45795,Petrol,Auto,8438,478000.0
Hyundai Grand i10,Hyundai,2016,62887,Petrol,Auto,8186,368000.0
Hyundai NEW SANTRO,Hyundai,2019,71718,Petrol,Auto,7043,399000.0
Honda Jazz,Honda,2016,42478,Petrol,Auto,9788,440000.00000000006
Honda Amaze,Honda,2019,70075,Diesel,Manual,9938,563000.0
Hyundai Creta,Hyundai,2019,35320,Petrol,Manual,15860,926000.0
Mahindra TUV 300 PLUS,Mahindra,2018,31709,Diesel,Manual,10445,534000.0
Maruti Swift,Maruti,2018,75660,Petrol,Manual,7953,451000.0
Hyundai Elite i20,Hyundai,2016,115037,Petrol,Manual,9305,418000.0
Tata ALTROZ,Tata,2023,19122,Petrol,Auto,11704,663000.0
Maruti Swift,Maruti,2020,37234,Petrol,Auto,9557,541000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,30009,Diesel,Manual,10767,610000.0
Ford Ecosport,Ford,2020,48073,Petrol,Auto,12019,681000.0
Maruti S PRESSO,Maruti,2021,42936,Petrol,Manual,6478,367000.0
Ford Ecosport,Ford,2017,38082,Petrol,Manual,8743,447000.0
Tata TIGOR,Tata,2022,12133,CNG,Manual,11150,632000.0
Maruti Swift,Maruti,2015,87471,Petrol,Manual,8869,337000.0
Maruti Dzire,Maruti,2018,54399,Petrol,Auto,10160,576000.0
Maruti Celerio,Maruti,2017,49319,Petrol,Auto,7686,393000.0
Honda Amaze,Honda,2016,86111,Petrol,Auto,9034,405999.99999999994
Maruti Alto K10,Maruti,2023,27232,Petrol,Manual,6982,396000.0
Maruti Swift,Maruti,2019,18641,Petrol,Manual,9108,516000.0
Hyundai Eon,Hyundai,2017,48868,Petrol,Manual,5374,275000.0
Hyundai Verna,Hyundai,2015,55561,Petrol,Manual,8681,330000.0
Hyundai i20,Hyundai,2011,122559,Petrol,Manual,8681,234000.0
Fiat Grand Punto,Fiat,2013,81332,Diesel,Manual,10840,122000.0
Hyundai Grand i10,Hyundai,2016,82000,Petrol,Auto,8898,400000.0
Fiat Punto EVO,Fiat,2016,85274,Diesel,Manual,7400,281000.0
Hyundai Xcent,Hyundai,2017,44961,Petrol,Manual,5787,296000.0
Maruti Alto 800,Maruti,2012,60575,Petrol,Manual,17859,200999.99999999997
BMW 5 Series,BMW,2011,91410,Diesel,Auto,17859,629000.0
Hyundai New Elantra,Hyundai,2018,73410,Petrol,Auto,13999,793000.0
Renault Kwid,Renault,2018,23368,Petrol,Manual,4501,254999.99999999997
Hyundai Eon,Hyundai,2015,43351,Petrol,Manual,6820,259000.0
Maruti Alto 800,Maruti,2013,90000,Petrol,Manual,10168,216000.0
Volkswagen TAIGUN,Volkswagen,2022,38108,Petrol,Manual,15924,930000.0000000001
Tata Tiago,Tata,2020,93880,Petrol,Manual,5472,310000.0
Tata Nano,Tata,2013,43557,Petrol,Manual,2777,59000.0
Ssangyong Rexton,Ssangyong,2013,96255,Diesel,Auto,24789,279000.0
Tata PUNCH,Tata,2022,30535,Petrol,Auto,12533,710000.0
Hyundai i10,Hyundai,2012,32640,Petrol,Manual,20702,233000.0
Maruti Celerio,Maruti,2014,91920,Petrol,Auto,10894,328000.0
Renault Kwid,Renault,2016,59769,Petrol,Manual,6317,284000.0
Hyundai Eon,Hyundai,2016,85288,Petrol,Manual,5561,250000.0
Hyundai i10,Hyundai,2012,34595,Petrol,Manual,21235,239000.0
Tata Tiago,Tata,2018,61603,Petrol,Auto,7414,420000.0
Chevrolet Beat,Chevrolet,2011,76505,Petrol,Manual,7414,103000.0
CITROEN C3,CITROEN,2023,16648,Petrol,Manual,9003,509999.99999999994
Hyundai Verna,Hyundai,2020,77968,Petrol,Manual,13063,740000.0
BMW 3 Series,BMW,2013,83206,Diesel,Auto,70812,797000.0
Maruti SX4,Maruti,2010,67802,Petrol,Manual,70812,102000.0
Honda Amaze,Honda,2018,93673,Petrol,Manual,8209,465000.00000000006
Tata NEXON,Tata,2025,8418,Diesel,Manual,21403,1250000.0
Hyundai Santro Xing,Hyundai,2011,75448,Petrol,Manual,21403,128000.0
Mahindra XUV500,Mahindra,2014,135974,Diesel,Manual,26691,567000.0
Ford Figo,Ford,2012,88869,Petrol,Manual,12883,145000.0
Tata PUNCH,Tata,2023,51561,Petrol,Auto,10592,600000.0
Ford Figo,Ford,2012,172000,Diesel,Manual,10592,192000.0
Chevrolet Sail,Chevrolet,2013,68291,Petrol,Manual,7061,150000.0
Maruti Alto 800,Maruti,2015,28287,Petrol,Manual,6583,250000.0
Volkswagen Polo,Volkswagen,2016,73359,Petrol,Manual,8809,396000.0
Tata PUNCH,Tata,2022,56095,Petrol,Manual,10821,613000.0
Maruti Vitara Brezza,Maruti,2021,58522,Petrol,Manual,13801,806000.0
Honda Brio,Honda,2013,104587,Petrol,Manual,11721,249000.00000000003
Toyota Urban Cruiser Taisor,Toyota,2025,1772,Petrol,Manual,14554,850000.0
Hyundai Grand i10,Hyundai,2018,64887,Petrol,Auto,9674,548000.0
Datsun Redi Go,Datsun,2016,77117,Petrol,Manual,4716,212000.0
Hyundai Eon,Hyundai,2016,31046,Petrol,Manual,5272,237000.0
Maruti Dzire,Maruti,2017,92418,Diesel,Auto,13213,594000.0
Tata NEXON,Tata,2020,49431,Petrol,Manual,14914,871000.0000000001
Hyundai i10,Hyundai,2010,46627,Petrol,Manual,14914,160000.0
Hyundai Eon,Hyundai,2012,63597,Petrol,Manual,18214,204999.99999999997
Tata PUNCH,Tata,2023,7727,Petrol,Manual,13240,750000.0
Chevrolet Beat,Chevrolet,2011,56082,Petrol,Manual,13240,133000.0
Maruti Swift,Maruti,2017,53444,Petrol,Manual,8504,434999.99999999994
Maruti A Star,Maruti,2011,69421,Petrol,Manual,8504,180000.0
Toyota Glanza,Toyota,2022,36260,Petrol,Manual,11368,644000.0
Nissan Micra Active,Nissan,2013,33990,Petrol,Manual,9838,209000.0
Maruti Ertiga,Maruti,2017,143146,Petrol,Auto,11767,529000.0
Volkswagen Polo,Volkswagen,2013,128848,Diesel,Manual,24522,276000.0
Hyundai Verna,Hyundai,2013,111994,Diesel,Manual,27099,305000.0
Chevrolet Cruze,Chevrolet,2015,132204,Diesel,Manual,14648,441000.0
Maruti Wagon R 1.0,Maruti,2011,49558,Petrol,Manual,14648,186000.0
Renault TRIBER,Renault,2023,67831,Petrol,Manual,11668,661000.0
Skoda Fabia,Skoda,2011,52646,Petrol,Manual,11668,217000.0
Chevrolet Spark,Chevrolet,2011,2,Petrol,Manual,11668,84000.0
Tata Zest,Tata,2014,97352,Petrol,Manual,9167,276000.0
Maruti Alto,Maruti,2022,25332,Petrol,Manual,7944,450000.0
Hyundai i20,Hyundai,2011,56537,Petrol,Manual,7944,222000.00000000003
Maruti Grand Vitara,Maruti,2023,27000,Petrol,Manual,18116,1058000.0
Skoda Laura,Skoda,2011,95153,Diesel,Auto,18116,200000.0
Maruti Eeco,Maruti,2016,51121,Petrol,Manual,7786,350000.0
Maruti Swift,Maruti,2013,122028,Diesel,Manual,33318,375000.0
Maruti Wagon R 1.0,Maruti,2016,122748,Petrol,Auto,8609,387000.0
Tata NEXON,Tata,2022,34297,Petrol,Auto,16489,963000.0000000001
Hyundai Santro Xing,Hyundai,2011,71543,Petrol,Manual,16489,150000.0
Ford New Figo,Ford,2017,100578,Petrol,Manual,7252,326000.0
Hyundai Elite i20,Hyundai,2020,24944,Petrol,Manual,10415,590000.0
Tata NEXON,Tata,2024,31989,Petrol,Manual,17516,1023000.0
Maruti Swift Dzire,Maruti,2016,119471,Petrol,Manual,10744,483000.0
Maruti Swift,Maruti,2020,56722,Petrol,Auto,11474,650000.0
Chevrolet Spark,Chevrolet,2010,90000,Petrol,Manual,11474,68000.0
Maruti Vitara Brezza,Maruti,2017,141458,Diesel,Manual,13035,586000.0
Honda Amaze,Honda,2014,98640,Petrol,Manual,9267,279000.0
Mahindra XUV500,Mahindra,2014,81445,Diesel,Manual,28856,613000.0
Datsun Redi Go,Datsun,2018,70446,Petrol,Auto,4590,260000.0
