car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Wagon R 1.0,Maruti,2013,63101,Petrol,Manual,9415,200000.0
Maruti Alto,Maruti,2011,80663,Petrol,Manual,9415,81000.0
Tata NEXON,Tata,2020,96601,Diesel,Manual,10715,607000.0
Maruti Swift,Maruti,2022,135444,Petrol,Manual,9899,445000.0
Hyundai Grand i10,Hyundai,2014,170490,Petrol,Manual,8104,244000.0
Hyundai Grand i10,Hyundai,2015,80283,Petrol,Manual,7084,269000.0
Hyundai i10,Hyundai,2011,80112,Petrol,Manual,7084,127000.0
Hyundai Verna,Hyundai,2012,153254,Diesel,Manual,7084,150000.0
Chevrolet Enjoy,Chevrolet,2014,114485,Diesel,Manual,6967,148000.0
Nissan Sunny,Nissan,2012,183479,Diesel,Manual,6967,99000.0
Hyundai Elite i20,Hyundai,2014,94350,Petrol,Manual,10562,318000.0
Hyundai Grand i10,Hyundai,2017,59750,Petrol,Manual,6745,345000.0
Tata Safari,Tata,2011,248507,Diesel,Manual,6745,229000.0
Hyundai Elite i20,Hyundai,2019,93167,Petrol,Manual,7926,449000.0
Jeep Compass,Jeep,2017,49000,Diesel,Manual,14815,666000.0
Volkswagen Vento,Volkswagen,2011,156104,Diesel,Manual,14815,122000.0
Maruti Wagon R 1.0,Maruti,2017,19336,Petrol,Manual,5103,261000.0
Hyundai i20,Hyundai,2013,151539,Diesel,Manual,20879,235000.0
Mahindra XUV500,Mahindra,2014,95515,Diesel,Manual,16852,358000.0
Hyundai Xcent,Hyundai,2014,73823,Diesel,Manual,13228,281000.0
Maruti Baleno,Maruti,2020,92000,Petrol,Manual,8261,468000.0
Maruti Alto,Maruti,2021,38578,Petrol,Manual,4519,256000.0
Maruti Alto 800,Maruti,2017,48614,Petrol,Manual,4145,212000.0
Mahindra Kuv100,Mahindra,2016,76842,Petrol,Manual,4471,200999.99999999997
KIA SONET,KIA,2020,141808,Petrol,Manual,12657,569000.0
Nissan Sunny,Nissan,2014,152765,Petrol,Manual,5779,174000.0
Hyundai i20,Hyundai,2011,153393,Petrol,Manual,5779,140000.0
Hyundai Eon,Hyundai,2017,25937,Petrol,Manual,4418,225999.99999999997
Hyundai Santro Xing,Hyundai,2012,86253,Petrol,Manual,11373,128000.0
Maruti Ertiga,Maruti,2022,57600,Petrol,Auto,16095,940000.0
Maruti Swift,Maruti,2017,143790,Diesel,Manual,8364,376000.0
Hyundai Santro Xing,Hyundai,2011,139813,Petrol,Manual,8364,94000.0
Hyundai i10,Hyundai,2011,65594,Petrol,Manual,8364,84000.0
Audi Q3,Audi,2018,113249,Diesel,Auto,26461,1217000.0
Hyundai Grand i10,Hyundai,2015,80566,Diesel,Manual,8270,249000.00000000003
Honda City,Honda,2014,95419,Diesel,Manual,13840,294000.0
Renault Duster,Renault,2014,67136,Diesel,Manual,10497,223000.0
Tata PUNCH,Tata,2024,21244,Petrol,Manual,12992,736000.0
Maruti Swift,Maruti,2022,36558,Petrol,Manual,9515,539000.0
Honda Brio,Honda,2011,79486,Petrol,Manual,9515,115999.99999999999
Skoda Rapid,Skoda,2017,100376,Diesel,Manual,10722,482000.0
Maruti Alto 800,Maruti,2013,187190,Petrol,Manual,6590,140000.0
Maruti Ertiga,Maruti,2016,65442,Diesel,Manual,17854,678000.0
Volkswagen Vento,Volkswagen,2016,94859,Diesel,Auto,9401,357000.0
KIA SELTOS,KIA,2023,21419,Petrol,Manual,16609,969999.9999999999
Hyundai Xcent,Hyundai,2014,118368,Petrol,Manual,10031,302000.0
Hyundai Xcent,Hyundai,2014,235266,Petrol,Manual,8735,263000.0
Maruti Alto,Maruti,2021,28115,Petrol,Manual,4943,280000.0
Fiat Punto EVO,Fiat,2016,136592,Petrol,Manual,3670,165000.0
Honda Amaze,Honda,2019,134581,Petrol,Manual,9498,426999.99999999994
Hyundai i20,Hyundai,2013,133758,Diesel,Manual,15810,178000.0
Hyundai Santro Xing,Hyundai,2013,147909,Petrol,Manual,7155,152000.0
Maruti Celerio,Maruti,2016,66881,Petrol,Manual,5561,250000.0
Tata ALTROZ,Tata,2022,64234,Petrol,Manual,9974,565000.0
Hyundai i10,Hyundai,2010,143760,Petrol,Manual,9974,59000.0
Toyota Etios,Toyota,2011,165582,Petrol,Manual,9974,127000.0
Hyundai Creta,Hyundai,2018,114191,Diesel,Manual,13992,629000.0
Maruti Ertiga,Maruti,2021,128510,Petrol,Manual,17394,800000.0
Tata PUNCH,Tata,2021,45248,Petrol,Manual,9285,526000.0
Hyundai i20,Hyundai,2011,101473,Diesel,Manual,9285,99000.0
Maruti S Cross,Maruti,2016,146458,Diesel,Manual,9875,375000.0
Mahindra Verito,Mahindra,2011,197427,Diesel,Manual,9875,121000.0
Chevrolet Sail,Chevrolet,2013,139253,Diesel,Manual,10662,120000.0
Hyundai Verna,Hyundai,2014,136816,Diesel,Manual,12474,265000.0
Maruti Ciaz,Maruti,2018,29936,Petrol,Manual,9833,557000.0
Hyundai Creta,Hyundai,2018,94015,Diesel,Manual,13060,668000.0
Hyundai Grand i10,Hyundai,2019,67785,Petrol,Auto,6955,394000.0
Hyundai i20,Hyundai,2010,99348,Petrol,Manual,6955,92000.0
Hyundai Grand i10,Hyundai,2016,78194,Petrol,Auto,10121,455000.0
Maruti Ertiga,Maruti,2017,189016,Diesel,Manual,11144,501000.0
Tata Tiago,Tata,2023,15325,Petrol,Manual,8209,465000.00000000006
Honda Amaze,Honda,2015,155393,Diesel,Manual,9400,283000.0
Maruti Baleno,Maruti,2018,71000,Petrol,Auto,7926,449000.0
Hyundai Verna,Hyundai,2015,240940,Diesel,Manual,11858,357000.0
Honda Amaze,Honda,2020,42079,Petrol,Manual,8297,470000.0
Fiat Grand Punto,Fiat,2016,112581,Diesel,Manual,4319,164000.0
Hyundai Santro Xing,Hyundai,2013,146162,Petrol,Manual,8191,174000.0
Hyundai Verna,Hyundai,2011,161084,Diesel,Manual,8191,174000.0
Honda City,Honda,2015,80776,Petrol,Auto,10534,400000.0
Hyundai Grand i10,Hyundai,2014,136224,Petrol,Manual,8304,250000.0
Hyundai Creta,Hyundai,2023,50314,Petrol,Manual,15051,878999.9999999999
Hyundai ALCAZAR,Hyundai,2022,44268,Petrol,Auto,21386,1249000.0
Hyundai Grand i10,Hyundai,2015,103912,Petrol,Manual,7637,290000.0
Tata NEXON,Tata,2022,42186,Petrol,Manual,13240,750000.0
Maruti Dzire,Maruti,2018,140040,Petrol,Manual,9053,407000.0
Hyundai Xcent,Hyundai,2015,114188,Petrol,Manual,8980,341000.0
Volkswagen Jetta,Volkswagen,2014,124618,Diesel,Manual,14734,313000.0
Maruti Eeco,Maruti,2015,211425,Petrol,Manual,5003,190000.0
Maruti Swift Dzire,Maruti,2011,105396,Petrol,Manual,5003,171000.0
Maruti Wagon R 1.0,Maruti,2011,122334,Petrol,Manual,5003,110000.00000000001
Hyundai Grand i10,Hyundai,2017,65802,Petrol,Manual,7312,374000.0
Honda WR-V,Honda,2018,127273,Diesel,Manual,11656,524000.0
MG ASTOR,MG,2023,25141,Petrol,Manual,17996,1051000.0
Skoda Octavia,Skoda,2015,129686,Diesel,Auto,13053,393000.0
Hyundai Elite i20,Hyundai,2017,78936,Petrol,Manual,7879,403000.0
Tata Tiago,Tata,2019,83175,Petrol,Manual,6814,386000.0
Maruti Alto 800,Maruti,2018,27892,Petrol,Manual,4537,256999.99999999997
Chevrolet Sail UVA,Chevrolet,2014,180894,Diesel,Manual,6214,132000.0
Tata NEXON,Tata,2019,51741,Petrol,Auto,9462,536000.0
Maruti Celerio,Maruti,2022,88540,Petrol,Manual,7061,400000.0
Hyundai i20,Hyundai,2014,109978,Diesel,Manual,10921,231999.99999999997
Hyundai VENUE,Hyundai,2021,49476,Petrol,Manual,12339,699000.0
Maruti Baleno,Maruti,2021,101386,Petrol,Manual,11612,522000.0
Hyundai Verna,Hyundai,2024,10627,Petrol,Auto,22721,1327000.0
Nissan MAGNITE,Nissan,2021,100523,Petrol,Auto,11144,501000.0
Mahindra Quanto,Mahindra,2013,137730,Diesel,Manual,9951,112000.00000000001
Maruti Eeco,Maruti,2017,165831,Petrol,Manual,6251,281000.0
Hyundai Xcent,Hyundai,2018,95489,Petrol,Manual,5561,315000.0
Tata NEXON,Tata,2020,87755,Petrol,Manual,10380,588000.0
Maruti Swift,Maruti,2018,115079,Petrol,Auto,9988,449000.0
Maruti Swift,Maruti,2015,105224,Diesel,Manual,11459,345000.0
Toyota Camry,Toyota,2017,179259,Hybrid,Auto,17394,800000.0
Hyundai Santro Xing,Hyundai,2011,115000,Petrol,Manual,17394,91000.0
Toyota Etios Liva,Toyota,2015,115314,Diesel,Manual,8470,254999.99999999997
Mercedes Benz GLA Class,Mercedes,2016,129288,Diesel,Auto,21710,840000.0
Honda Amaze,Honda,2020,79894,Petrol,Manual,7379,418000.0
Ford Ecosport,Ford,2018,85092,Diesel,Manual,11359,581000.0
Maruti Vitara Brezza,Maruti,2021,74428,Petrol,Auto,11633,659000.0
Honda City,Honda,2018,103102,Petrol,Auto,12724,572000.0
Maruti Alto,Maruti,2019,31102,Petrol,Manual,4731,268000.0
Honda Amaze,Honda,2017,185125,Diesel,Manual,6451,290000.0
Maruti Swift,Maruti,2015,25044,Diesel,Manual,13485,405999.99999999994
Hyundai Elite i20,Hyundai,2018,196896,Diesel,Manual,9343,420000.0
Maruti Swift Dzire,Maruti,2014,131842,Diesel,Manual,15252,324000.0
Honda City,Honda,2015,120855,Petrol,Auto,9928,377000.0
Honda City,Honda,2015,89729,Petrol,Manual,9112,346000.0
Ford Ecosport,Ford,2016,120295,Diesel,Manual,9691,368000.0
Renault Captur,Renault,2017,71374,Diesel,Manual,7288,328000.0
Tata TIGOR,Tata,2023,65255,Petrol,Manual,11298,640000.0
Maruti Baleno,Maruti,2025,4935,Petrol,Manual,11474,650000.0
Hyundai Grand i10,Hyundai,2016,95342,Petrol,Auto,7163,322000.0
Honda City,Honda,2011,109023,Petrol,Manual,7163,184000.0
Hyundai Grand i10,Hyundai,2018,78178,Petrol,Manual,6496,368000.0
Maruti Alto K10,Maruti,2010,106208,Petrol,Manual,6496,109000.00000000001
Jeep Compass,Jeep,2018,200912,Diesel,Manual,14948,672000.0
Hyundai Creta,Hyundai,2016,103600,Diesel,Manual,15642,594000.0
Maruti Ertiga,Maruti,2014,177214,Diesel,Manual,17323,368000.0
Maruti Vitara Brezza,Maruti,2021,88154,Petrol,Manual,9744,552000.0
Hyundai Creta,Hyundai,2022,41633,Petrol,Manual,15068,880000.0000000001
Maruti Ertiga,Maruti,2016,97639,Diesel,Manual,13615,517000.0
Mahindra SCORPIO CLASSIC,Mahindra,2025,5622,Diesel,Manual,27875,1628000.0
BMW X1,BMW,2016,166343,Diesel,Auto,24915,964000.0
Tata NEXON,Tata,2022,39058,Petrol,Manual,11015,624000.0
Maruti Swift,Maruti,2023,114830,Petrol,Manual,15460,695000.0
Hyundai Grand i10,Hyundai,2015,65763,Petrol,Manual,9085,345000.0
Maruti Dzire,Maruti,2019,47610,Petrol,Auto,8032,455000.0
Hyundai Creta,Hyundai,2018,63425,Petrol,Manual,11633,659000.0
Maruti Eeco,Maruti,2019,64402,Petrol,Manual,5636,319000.0
Maruti BREZZA,Maruti,2023,17133,Petrol,Manual,16609,969999.9999999999
Hyundai NEW SANTRO,Hyundai,2019,54144,Petrol,Manual,7238,409999.99999999994
Jeep Compass,Jeep,2018,136735,Diesel,Manual,15660,704000.0
Tata NEXON,Tata,2024,13439,Petrol,Manual,18287,1068000.0
Mahindra Thar,Mahindra,2025,4864,Diesel,Manual,20598,1203000.0
Honda City,Honda,2021,75943,Petrol,Auto,13698,800000.0
Hyundai Grand i10,Hyundai,2014,136747,Petrol,Manual,9732,293000.0
Hyundai Creta,Hyundai,2021,50591,Diesel,Manual,22739,1328000.0
Toyota Innova Crysta,Toyota,2017,136111,Diesel,Manual,26808,1233000.0
Mahindra Thar,Mahindra,2023,19190,Diesel,Manual,23920,1397000.0
Hyundai NEW SANTRO,Hyundai,2019,71842,Petrol,Manual,5737,325000.0
Tata NEXON,Tata,2023,40143,Diesel,Auto,17122,1000000.0
Honda Civic,Honda,2012,68345,Petrol,Auto,28698,323000.0
Maruti Baleno,Maruti,2021,89743,Petrol,Manual,9232,523000.00000000006
Maruti Swift,Maruti,2012,130459,Diesel,Manual,9232,290000.0
Volkswagen Polo,Volkswagen,2014,167420,Petrol,Manual,34965,1068000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,70992,Petrol,Manual,8826,500000.0
Mahindra BOLERO NEO,Mahindra,2022,73242,Diesel,Manual,11880,673000.0
Renault Kiger,Renault,2022,29175,Petrol,Manual,9744,552000.0
Maruti Eeco,Maruti,2024,32321,Petrol,Manual,8831,500000.0
Maruti S Cross,Maruti,2016,134855,Diesel,Manual,11798,448000.00000000006
Maruti Swift,Maruti,2021,95637,Petrol,Manual,8385,475000.0
Maruti Eeco,Maruti,2017,264893,Petrol,Manual,6696,301000.0
Hyundai Creta,Hyundai,2015,189192,Diesel,Manual,20759,625000.0
Maruti Vitara Brezza,Maruti,2019,126536,Diesel,Manual,12568,565000.0
Toyota Innova Crysta,Toyota,2016,357487,Diesel,Manual,19750,750000.0
Renault Duster,Renault,2019,121364,Petrol,Manual,9370,421000.0
Maruti Grand Vitara,Maruti,2023,39519,Petrol,Manual,17910,1046000.0000000001
Maruti Baleno,Maruti,2020,75485,Petrol,Manual,8297,470000.0
Tata NEXON,Tata,2023,42187,Petrol,Auto,15496,905000.0000000001
Maruti Alto K10,Maruti,2024,40993,Petrol,Manual,8120,459999.99999999994
Hyundai NEW SANTRO,Hyundai,2020,90827,Petrol,Auto,7061,400000.0
Audi Q3,Audi,2017,162022,Diesel,Auto,24265,1116000.0
Maruti S Cross,Maruti,2021,72888,Petrol,Auto,11916,675000.0
Volkswagen Ameo,Volkswagen,2018,86809,Petrol,Manual,6549,371000.0
Ford Ecosport,Ford,2019,70530,Petrol,Manual,9179,520000.0
Hyundai VENUE,Hyundai,2021,139850,Diesel,Manual,17328,779000.0
Mahindra XUV700,Mahindra,2025,10628,Diesel,Manual,36351,2123000.0
Tata NEXON,Tata,2023,54555,Diesel,Manual,18150,1060000.0
Tata NEXON,Tata,2023,43398,Diesel,Auto,20478,1196000.0
Hyundai Creta,Hyundai,2020,65685,Diesel,Manual,16164,944000.0
KIA SELTOS,KIA,2021,18391,Petrol,Manual,17414,1017000.0
KIA CARENS,KIA,2022,100899,Petrol,Manual,17590,809000.0
Maruti Vitara Brezza,Maruti,2017,107752,Diesel,Manual,11300,508000.0
Toyota Innova Crysta,Toyota,2022,81520,Diesel,Auto,29536,1725000.0
Maruti New Wagon-R,Maruti,2020,152416,Petrol,Manual,9432,424000.0
Tata Safari,Tata,2021,117883,Diesel,Auto,34201,1573000.0
Mercedes Benz C Class,Mercedes,2019,44686,Diesel,Auto,43748,2555000.0
KIA SONET,KIA,2024,13200,Petrol,Manual,15444,902000.0
Hyundai Creta,Hyundai,2025,13000,Diesel,Manual,26608,1554000.0
Hyundai VENUE,Hyundai,2019,127840,Diesel,Manual,15771,709000.0
Jeep Compass,Jeep,2021,86909,Diesel,Auto,34913,2039000.0
KIA SELTOS,KIA,2020,63196,Diesel,Manual,17379,1015000.0
Volkswagen VIRTUS,Volkswagen,2022,17761,Petrol,Auto,19691,1150000.0
Volvo XC 60,Volvo,2018,45695,Diesel,Auto,37116,1950000.0
Maruti S PRESSO,Maruti,2025,5300,Petrol,Manual,8138,461000.00000000006
Mahindra SCORPIO-N,Mahindra,2025,22142,Diesel,Manual,29588,1728000.0
KIA SONET,KIA,2022,120338,Petrol,Manual,16416,738000.0
