car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Volkswagen Polo,Volkswagen,2013,106499,Diesel,Manual,12528,141000.0
Hyundai i10,Hyundai,2012,80491,Petrol,Manual,13238,149000.0
Renault Duster,Renault,2013,61775,Diesel,Manual,19191,216000.0
Hyundai Eon,Hyundai,2014,53973,Petrol,Manual,5414,163000.0
Honda Amaze,Honda,2014,113135,Petrol,Manual,6842,206000.0
Honda Brio,Honda,2013,75989,Petrol,Manual,9132,194000.0
Hyundai i10,Hyundai,2012,22064,Petrol,Auto,20169,227000.0
Tata NEXON,Tata,2020,45165,Petrol,Manual,11227,636000.0
Mahindra TUV300,Mahindra,2017,2292,Diesel,Manual,9120,409999.99999999994
Hyundai Eon,Hyundai,2011,74207,Petrol,Manual,9120,96000.0
Tata ALTROZ,Tata,2023,19632,Petrol,Manual,8985,509000.0
Tata Safari,Tata,2012,88367,Diesel,Manual,8985,100000.0
Hyundai i10,Hyundai,2014,68839,Petrol,Manual,5945,179000.0
Skoda Kodiaq,Skoda,2017,62872,Diesel,Auto,20655,950000.0
Datsun Go,Datsun,2016,111813,Petrol,Manual,2380,107000.0
Chevrolet Aveo,Chevrolet,2010,19818,Petrol,Manual,2380,79000.0
Toyota Etios,Toyota,2012,168687,Petrol,Manual,12883,145000.0
Hyundai Xcent,Hyundai,2014,75578,Petrol,Manual,8603,259000.0
Hyundai Verna,Hyundai,2013,61855,Diesel,Manual,22212,250000.0
Hyundai Verna,Hyundai,2017,61862,Petrol,Manual,10792,552000.0
Hyundai Verna,Hyundai,2012,84155,Diesel,Manual,10792,250999.99999999997
Honda Amaze,Honda,2013,108481,Diesel,Manual,15460,174000.0
Maruti XL6,Maruti,2022,44449,Petrol,Manual,15239,890000.0
Toyota Etios,Toyota,2013,142155,Diesel,Manual,15993,180000.0
Skoda Laura,Skoda,2012,96547,Diesel,Manual,15993,180000.0
Hyundai Eon,Hyundai,2018,112494,Petrol,Manual,4516,202999.99999999997
Nissan MAGNITE,Nissan,2023,30807,Petrol,Manual,8526,483000.0
Maruti Swift,Maruti,2020,85610,Petrol,Manual,7520,426000.0
Hyundai Elite i20,Hyundai,2017,96041,Petrol,Manual,6843,350000.0
Ford Figo Aspire,Ford,2017,348318,Diesel,Manual,6117,275000.0
Mahindra BOLERO NEO,Mahindra,2022,19754,Diesel,Manual,13698,800000.0
Hyundai Grand i10,Hyundai,2016,38037,Petrol,Manual,6851,308000.0
Ford Figo,Ford,2011,56110,Petrol,Manual,6851,94000.0
Tata Tiago,Tata,2018,51089,Petrol,Manual,5261,298000.0
Hyundai Elite i20,Hyundai,2018,109838,Petrol,Manual,7875,354000.0
Maruti Celerio,Maruti,2015,46751,Petrol,Manual,6820,259000.0
Tata TIAGO NRG,Tata,2019,104379,Petrol,Manual,7096,319000.0
Honda Amaze,Honda,2015,149525,Diesel,Manual,7772,234000.0
Maruti Swift Dzire,Maruti,2011,234857,Diesel,Manual,7772,121000.0
Hyundai Santro Xing,Hyundai,2010,37047,Petrol,Manual,7772,100000.0
Tata ALTROZ,Tata,2022,131131,Petrol,Manual,11322,509000.0
Chevrolet Sail UVA,Chevrolet,2014,61656,Petrol,Manual,3720,112000.00000000001
Honda Amaze,Honda,2018,149434,Diesel,Manual,9098,409000.0
Tata Tiago,Tata,2019,48377,Petrol,Manual,7449,422000.0
Mahindra XUV500,Mahindra,2016,71313,Diesel,Manual,14510,551000.0
Maruti Celerio,Maruti,2022,50576,Petrol,Manual,6178,350000.0
Hyundai Santro Xing,Hyundai,2010,45265,Petrol,Manual,6178,138000.0
Maruti Swift Dzire,Maruti,2013,53777,Petrol,Manual,13181,280000.0
Mahindra XUV500,Mahindra,2013,94076,Diesel,Manual,21768,245000.00000000003
Honda Amaze,Honda,2019,20700,Petrol,Manual,7679,434999.99999999994
Honda WR-V,Honda,2017,88674,Diesel,Manual,10010,450000.0
Maruti Swift Dzire,Maruti,2011,138328,Diesel,Manual,10010,166000.0
Ford Fiesta,Ford,2011,188679,Diesel,Manual,10010,72000.0
Tata Indigo ECS,Tata,2012,162312,Diesel,Manual,10010,55000.00000000001
Tata PUNCH,Tata,2024,50728,Petrol,Manual,14126,825000.0
Ford Figo,Ford,2010,81572,Diesel,Manual,14126,92000.0
Maruti Swift Dzire,Maruti,2014,74849,Petrol,Manual,10894,328000.0
Tata Harrier,Tata,2024,53395,Diesel,Manual,25084,1465000.0
Ford Figo,Ford,2011,73994,Diesel,Manual,25084,128000.0
Tata Indica Vista,Tata,2012,151776,Diesel,Manual,25084,63000.0
Renault TRIBER,Renault,2020,84525,Petrol,Manual,6920,392000.0
Hyundai Santro Xing,Hyundai,2011,79831,Petrol,Manual,6920,115999.99999999999
Tata Indigo ECS,Tata,2014,170005,Diesel,Manual,3531,75000.0
Tata Indigo ECS,Tata,2012,97485,Diesel,Manual,3531,62000.0
Renault Duster,Renault,2013,67593,Diesel,Manual,21146,238000.0
Toyota YARIS,Toyota,2018,112667,Petrol,Manual,11767,529000.0
Renault TRIBER,Renault,2022,55071,Petrol,Manual,8826,500000.0
Tata NEXON,Tata,2021,11079,Petrol,Manual,10486,594000.0
Hyundai Elite i20,Hyundai,2016,58190,Petrol,Manual,7519,338000.0
Renault Kiger,Renault,2021,35286,Petrol,Manual,6637,376000.0
Toyota Etios Liva,Toyota,2016,110275,Diesel,Manual,7531,286000.0
Honda WR-V,Honda,2018,158111,Diesel,Manual,10655,479000.0
Maruti New Wagon-R,Maruti,2020,94324,Petrol,Manual,5684,322000.0
Maruti Baleno,Maruti,2018,97036,Petrol,Manual,7061,400000.0
Skoda Rapid,Skoda,2019,178407,Diesel,Manual,11656,524000.0
Renault Kwid,Renault,2022,20113,Petrol,Auto,6567,372000.0
Hyundai Grand i10,Hyundai,2015,75239,Diesel,Manual,9865,297000.0
Chevrolet Sail,Chevrolet,2013,152361,Diesel,Manual,10040,112999.99999999999
Maruti Celerio,Maruti,2018,70945,Petrol,Auto,5684,322000.0
Tata Tiago,Tata,2018,77083,Petrol,Manual,5472,310000.0
BMW X1,BMW,2013,140549,Diesel,Auto,49755,560000.0
Honda City,Honda,2015,69136,Petrol,Manual,10797,409999.99999999994
Maruti Dzire,Maruti,2025,6818,Petrol,Manual,13434,761000.0
Maruti Baleno,Maruti,2018,50811,Petrol,Manual,7573,429000.0
Maruti FRONX,Maruti,2023,90476,Petrol,Manual,11262,638000.0
Ford Ecosport,Ford,2015,99235,Petrol,Manual,7900,300000.0
Ford Ecosport,Ford,2014,142044,Diesel,Manual,14122,300000.0
Mahindra XUV500,Mahindra,2018,85026,Diesel,Auto,15265,802000.0
Mahindra Thar,Mahindra,2021,78302,Diesel,Manual,19006,1110000.0
Maruti Ertiga,Maruti,2012,86688,Diesel,Manual,19006,373000.0
Maruti Baleno,Maruti,2018,123148,Petrol,Manual,8609,387000.0
Maruti Baleno,Maruti,2018,109579,Petrol,Manual,9854,443000.0
Hyundai Grand i10,Hyundai,2018,41084,Petrol,Manual,6584,373000.0
Tata NEXON,Tata,2022,74471,Petrol,Manual,15325,894999.9999999999
KIA SELTOS,KIA,2019,2490,Petrol,Auto,14845,867000.0
Hyundai GRAND I10 NIOS,Hyundai,2023,3696,Petrol,Auto,11704,663000.0
Renault Kiger,Renault,2023,10056,Petrol,Auto,11598,657000.0
Maruti S PRESSO,Maruti,2022,69910,Petrol,Manual,6178,350000.0
Hyundai Verna,Hyundai,2022,52001,Petrol,Auto,16095,940000.0
Maruti Ciaz,Maruti,2018,65905,Petrol,Manual,9179,520000.0
Maruti Baleno,Maruti,2016,51907,Petrol,Manual,8564,385000.0
Toyota Innova Crysta,Toyota,2025,31839,Diesel,Manual,46350,2707000.0
Maruti S PRESSO,Maruti,2024,2769,Petrol,Auto,9179,520000.0
Maruti Baleno,Maruti,2021,63862,Petrol,Manual,7944,450000.0
Tata PUNCH,Tata,2021,75507,Petrol,Auto,10592,600000.0
Mahindra Thar,Mahindra,2022,36469,Diesel,Manual,23184,1354000.0
Maruti Vitara Brezza,Maruti,2021,76253,Petrol,Manual,13999,793000.0
MG HECTOR,MG,2019,68893,Diesel,Manual,16095,940000.0
Hyundai EXTER,Hyundai,2023,23033,Petrol,Manual,11880,673000.0
Hyundai Verna,Hyundai,2013,60053,Diesel,Manual,31630,356000.0
Maruti Vitara Brezza,Maruti,2017,147548,Diesel,Manual,11589,521000.0
Skoda KUSHAQ,Skoda,2023,18115,Petrol,Auto,25461,1487000.0
Honda City,Honda,2014,101817,Diesel,Manual,20053,426000.0
Hyundai NEW SANTRO,Hyundai,2019,11214,Petrol,Manual,6779,384000.0
Tata Tiago,Tata,2023,7935,Petrol,Manual,8597,487000.0
Volkswagen VIRTUS,Volkswagen,2022,14011,Petrol,Manual,18287,1068000.0
MG ASTOR,MG,2022,24608,Petrol,Auto,19092,1115000.0
Maruti Grand Vitara,Maruti,2023,39533,Petrol,Auto,19708,1151000.0
Toyota URBAN CRUISER HYRYDER,Toyota,2025,11568,Petrol,Manual,22841,1334000.0
Maruti Baleno,Maruti,2019,23174,Petrol,Manual,8703,493000.0
Hyundai NEW SANTRO,Hyundai,2020,64981,Petrol,Manual,6620,375000.0
Tata NEXON,Tata,2021,142861,Diesel,Manual,19438,894000.0
Tata Tiago,Tata,2021,22508,Petrol,Auto,10062,570000.0
Maruti Dzire,Maruti,2024,1618,Petrol,Manual,11969,678000.0
Hyundai Elite i20,Hyundai,2018,13313,Petrol,Manual,7997,453000.0
Hyundai Creta,Hyundai,2023,52351,Petrol,Manual,18116,1058000.0
Maruti Celerio,Maruti,2024,10814,Petrol,Manual,8950,507000.0
Renault Kiger,Renault,2021,27498,Petrol,Manual,10592,600000.0
Mercedes Benz GL Class,Mercedes,2013,113249,Diesel,Auto,123027,1392000.0
Mahindra XUV500,Mahindra,2020,48349,Diesel,Manual,20941,1223000.0
KIA SONET,KIA,2021,36579,Petrol,Manual,12992,736000.0
KIA SELTOS,KIA,2021,28894,Petrol,Manual,13698,800000.0
Hyundai VENUE,Hyundai,2022,67713,Petrol,Manual,11439,648000.0
KIA SONET,KIA,2022,135349,Petrol,Manual,20590,947000.0000000001
KIA SONET,KIA,2023,64946,Petrol,Manual,12675,718000.0
