car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Tata Tiago,Tata,2024,20472,Petrol,Auto,11916,675000.0
Maruti XL6,Maruti,2021,81499,Petrol,Manual,14565,851000.0
Ford Endeavour,Ford,2017,153568,Diesel,Auto,33701,1550000.0
Hyundai Creta,Hyundai,2024,48000,Petrol,Manual,17533,1024000.0
Audi Q3,Audi,2013,132626,Diesel,Auto,58107,654000.0
Maruti Ertiga,Maruti,2024,61474,Petrol,Manual,15444,902000.0
Mahindra XUV700,Mahindra,2024,8966,Petrol,Auto,41094,2400000.0
Audi Q5,Audi,2015,122022,Diesel,Auto,27337,835000.0
KIA CARENS,KIA,2023,185643,Petrol,Manual,18546,852999.9999999999
Mahindra XUV700,Mahindra,2024,41732,Diesel,Auto,33063,1930999.9999999998
Hyundai Creta,Hyundai,2023,23800,Petrol,Auto,25084,1465000.0
Hyundai Creta,Hyundai,2023,23938,Petrol,Manual,19776,1155000.0
Tata NEXON,Tata,2017,136337,Petrol,Manual,11078,498000.00000000006
Maruti Vitara Brezza,Maruti,2018,120584,Diesel,Auto,13146,591000.0
Hyundai Creta,Hyundai,2020,74046,Petrol,Manual,17122,1000000.0
Honda Jazz,Honda,2016,88047,Petrol,Auto,7652,344000.0
KIA SELTOS,KIA,2023,57000,Diesel,Auto,25684,1500000.0
Volkswagen VIRTUS,Volkswagen,2024,21321,Petrol,Auto,27396,1600000.0
Hyundai Creta,Hyundai,2016,155864,Diesel,Manual,16222,616000.0
Audi Q5,Audi,2013,163871,Diesel,Auto,78483,888000.0000000001
MG HECTOR PLUS,MG,2021,56000,Petrol,Auto,29194,1705000.0
Toyota Fortuner,Toyota,2011,97882,Diesel,Manual,29194,678000.0
Mahindra XUV300,Mahindra,2022,23172,Petrol,Auto,14554,850000.0
Volkswagen VIRTUS,Volkswagen,2022,27026,Petrol,Auto,21403,1250000.0
Tata Harrier,Tata,2019,103036,Diesel,Manual,20003,919999.9999999999
Mahindra XUV300,Mahindra,2023,57083,Diesel,Auto,15410,900000.0
Toyota Innova,Toyota,2016,91791,Diesel,Manual,16459,625000.0
Honda CRV,Honda,2014,102690,Petrol,Auto,17305,521000.0
Tata Safari,Tata,2021,59596,Diesel,Auto,26540,1550000.0
Audi Q5,Audi,2011,160631,Diesel,Auto,26540,711000.0
Tata ALTROZ,Tata,2023,18192,Petrol,Manual,11280,639000.0
Tata Harrier,Tata,2021,147270,Diesel,Manual,23917,1100000.0
KIA SONET,KIA,2022,54129,Diesel,Manual,15753,919999.9999999999
Maruti Alto,Maruti,2021,201489,Petrol,Manual,7563,340000.0
MG HECTOR,MG,2022,118224,Diesel,Manual,27178,1250000.0
Mercedes Benz GLS,Mercedes,2017,49519,Diesel,Auto,78012,3588000.0000000005
Mahindra MARAZZO,Mahindra,2020,119677,Diesel,Manual,15571,700000.0
Tata ALTROZ,Tata,2024,10500,Petrol,Manual,13240,750000.0
Mercedes Benz GLE,Mercedes,2016,160986,Diesel,Auto,47814,1850000.0
Jeep WRANGLER,Jeep,2022,44680,Petrol,Auto,82188,4800000.0
Maruti FRONX,Maruti,2023,53791,Petrol,Manual,15975,933000.0
Mahindra XUV500,Mahindra,2015,117054,Diesel,Manual,15578,469000.00000000006
Tata NEXON,Tata,2019,38113,Diesel,Manual,12322,698000.0
Tata TIGOR,Tata,2017,184323,Diesel,Manual,6715,302000.0
Maruti Vitara Brezza,Maruti,2021,62271,Petrol,Manual,9656,547000.0
Mercedes Benz C Class,Mercedes,2020,45230,Diesel,Auto,56264,3286000.0
