car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Nissan Micra,Nissan,2014,80097,Petrol,Auto,10396,313000.0
KIA SELTOS,KIA,2023,14176,Petrol,Auto,28218,1648000.0
Volkswagen TAIGUN,Volkswagen,2022,28294,Petrol,Manual,15068,880000.0000000001
Mahindra KUV 100 NXT,Mahindra,2018,59522,Petrol,Manual,5261,298000.0
Renault Kwid,Renault,2016,39248,Petrol,Manual,5072,227999.99999999997
Maruti Alto K10,Maruti,2013,62963,Petrol,Manual,9415,200000.0
Jeep Compass,Jeep,2017,101324,Diesel,Manual,21612,994000.0
Renault Kwid,Renault,2016,95485,Petrol,Manual,3337,150000.0
Hyundai Verna,Hyundai,2018,46380,Petrol,Manual,12092,685000.0
Renault Kwid,Renault,2017,49967,Petrol,Manual,4888,250000.0
Honda Amaze,Honda,2015,151292,Petrol,Manual,8479,322000.0
Honda City,Honda,2012,147979,Petrol,Manual,25233,284000.0
Maruti Alto,Maruti,2011,78161,Petrol,Manual,25233,123000.0
Hyundai Eon,Hyundai,2014,73729,Petrol,Manual,5148,155000.0
Hyundai Grand i10,Hyundai,2014,70416,Petrol,Manual,7174,216000.0
Hyundai Elite i20,Hyundai,2018,57748,Petrol,Manual,8544,484000.0
Tata Tiago,Tata,2018,57255,Petrol,Manual,5296,300000.0
Maruti Wagon R 1.0,Maruti,2011,74123,Petrol,Manual,5296,220000.00000000003
Maruti Swift,Maruti,2019,73395,Petrol,Manual,7591,430000.0
Hyundai Creta,Hyundai,2017,76336,Diesel,Manual,11345,509999.99999999994
Tata Tiago,Tata,2018,81972,Petrol,Auto,5472,310000.0
Tata Bolt,Tata,2015,80763,Petrol,Manual,4766,181000.0
Hyundai Xcent,Hyundai,2014,107328,Petrol,Manual,9632,290000.0
Chevrolet Sail UVA,Chevrolet,2013,40000,Diesel,Manual,9151,103000.0
Maruti Celerio,Maruti,2016,35557,Petrol,Manual,6228,280000.0
