car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Wagon R 1.0,Maruti,2013,169590,Petrol,Manual,8897,189000.0
Datsun Redi Go,Datsun,2017,68610,Petrol,Manual,2776,142000.0
Maruti Ertiga,Maruti,2015,80650,Diesel,Manual,12190,367000.0
Hyundai Eon,Hyundai,2015,123398,Petrol,Manual,4213,160000.0
Chevrolet Beat,Chevrolet,2013,250363,Diesel,Manual,6841,77000.0
Volkswagen Vento,Volkswagen,2012,114830,Diesel,Manual,6841,139000.0
Hyundai Eon,Hyundai,2015,56686,Petrol,Manual,3897,148000.0
Hyundai i20,Hyundai,2012,147710,Diesel,Manual,3897,155000.0
Datsun Redi Go,Datsun,2017,62335,Petrol,Manual,2600,133000.0
Maruti Eeco,Maruti,2014,180824,Petrol,Manual,7606,229000.0
Hyundai Elite i20,Hyundai,2015,80306,Diesel,Manual,12621,380000.0
Maruti Alto,Maruti,2021,53416,Petrol,Manual,4996,283000.0
Hyundai Verna,Hyundai,2014,77471,Petrol,Manual,9533,287000.0
Nissan MAGNITE,Nissan,2022,19440,Petrol,Manual,9903,561000.0
Volkswagen Vento,Volkswagen,2012,100339,Diesel,Manual,9903,151000.0
Maruti Swift Dzire,Maruti,2013,126215,Diesel,Manual,22212,250000.0
Chevrolet Sail UVA,Chevrolet,2012,115429,Diesel,Manual,22212,124000.0
Skoda Rapid,Skoda,2017,212420,Diesel,Auto,13124,590000.0
Tata NEXON,Tata,2017,128966,Diesel,Manual,7563,340000.0
Volkswagen Vento,Volkswagen,2015,120345,Petrol,Auto,6662,252999.99999999997
Maruti Eeco,Maruti,2020,27681,Petrol,Manual,8156,462000.0
Hyundai Elite i20,Hyundai,2018,78623,Petrol,Manual,6867,389000.0
Maruti Alto K10,Maruti,2024,9369,Petrol,Manual,6796,385000.0
Hyundai i10,Hyundai,2011,84113,Petrol,Manual,6796,122000.0
Mahindra Kuv100,Mahindra,2015,70063,Diesel,Manual,4584,138000.0
Toyota Innova,Toyota,2010,168954,Diesel,Manual,4584,222000.00000000003
Tata Indigo ECS,Tata,2013,243092,Diesel,Manual,10775,121000.0
Fiat Punto EVO,Fiat,2014,61907,Petrol,Manual,2890,87000.0
Maruti Alto K10,Maruti,2012,139016,Petrol,Manual,8529,96000.0
Tata Indica Vista,Tata,2012,139563,Diesel,Manual,8529,117000.0
Hyundai Elite i20,Hyundai,2019,120832,Petrol,Manual,10166,457000.0
Maruti Wagon R 1.0,Maruti,2012,54155,Petrol,Manual,14038,158000.0
Maruti Celerio,Maruti,2019,73357,Petrol,Manual,4643,263000.0
Jeep Compass,Jeep,2017,188308,Diesel,Manual,13347,600000.0
Hyundai i10,Hyundai,2013,214245,Petrol,Manual,9085,193000.0
Volkswagen Vento,Volkswagen,2011,118201,Petrol,Manual,9085,100000.0
Nissan Micra,Nissan,2014,75157,Diesel,Manual,7579,161000.0
Hyundai i20,Hyundai,2013,30611,Petrol,Manual,9980,212000.0
MG ASTOR,MG,2023,42302,Petrol,Auto,20547,1200000.0
Honda Brio,Honda,2014,36350,Petrol,Manual,7407,223000.0
Maruti Swift,Maruti,2019,28931,Petrol,Manual,8932,505999.99999999994
Renault TRIBER,Renault,2021,160229,Petrol,Manual,10010,450000.0
Skoda Rapid,Skoda,2012,10489,Diesel,Manual,10010,192000.0
Maruti Ciaz,Maruti,2017,124681,Petrol,Manual,10054,451999.99999999994
Honda Mobilio,Honda,2014,128000,Diesel,Manual,14122,300000.0
Honda City,Honda,2022,111912,Petrol,Manual,12835,577000.0
Hyundai i10,Hyundai,2013,83900,Petrol,Manual,8285,176000.0
Hyundai Grand i10,Hyundai,2014,79786,Petrol,Manual,7706,231999.99999999997
Tata Harrier,Tata,2022,56671,Diesel,Auto,23852,1393000.0
Maruti Eeco,Maruti,2011,129737,Petrol,Manual,23852,135000.0
Toyota Innova Crysta,Toyota,2018,89895,Diesel,Manual,19262,1011999.9999999999
Maruti New Wagon-R,Maruti,2020,54000,Petrol,Manual,6373,361000.0
Mahindra TUV300,Mahindra,2016,93379,Diesel,Manual,8875,337000.0
Skoda Rapid,Skoda,2017,178469,Diesel,Auto,13725,617000.0
MG HECTOR,MG,2019,97572,Petrol,Manual,12233,693000.0
Maruti Vitara Brezza,Maruti,2017,83714,Diesel,Manual,10032,451000.0
Maruti Wagon R 1.0,Maruti,2017,65300,Petrol,Manual,4809,246000.0
Volkswagen Vento,Volkswagen,2016,128938,Diesel,Auto,9480,360000.0
Toyota Etios,Toyota,2011,72737,Petrol,Manual,9480,143000.0
Hyundai Grand i10,Hyundai,2015,75069,Diesel,Manual,9234,278000.0
Tata Tiago,Tata,2018,173732,Petrol,Manual,6940,312000.0
Tata Indigo ECS,Tata,2016,224479,Diesel,Manual,3634,138000.0
