car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai AURA,Hyundai,2023,47649,Petrol,Auto,10237,580000.0
Volkswagen Polo,Volkswagen,2017,72046,Petrol,Auto,10416,533000.0
Renault Kwid,Renault,2018,23709,Petrol,Manual,4237,240000.0
Maruti Alto 800,Maruti,2017,63882,Petrol,Manual,3838,196000.0
Tata Tiago,Tata,2017,115224,Petrol,Auto,6257,281000.0
Audi A3,Audi,2019,61518,Petrol,Auto,25667,1499000.0
Toyota URBAN CRUISER,Toyota,2021,81951,Petrol,Manual,11245,637000.0
Mahindra TUV300,Mahindra,2016,73742,Diesel,Manual,9875,375000.0
Maruti Ciaz,Maruti,2018,44997,Petrol,Manual,9674,548000.0
Toyota Etios Liva,Toyota,2013,26072,Petrol,Manual,8097,172000.0
Nissan MAGNITE,Nissan,2021,34722,Petrol,Manual,8169,463000.0
Datsun Redi Go,Datsun,2018,20918,Petrol,Auto,3937,223000.0
Honda Amaze,Honda,2020,83828,Petrol,Manual,7552,428000.0
Maruti New Wagon-R,Maruti,2021,68180,CNG,Manual,7396,419000.00000000006
BMW 5 Series,BMW,2017,69490,Petrol,Auto,49013,2575000.0
Honda WR-V,Honda,2020,43299,Petrol,Manual,8615,488000.0
Hyundai Grand i10,Hyundai,2015,41896,Petrol,Manual,8769,333000.0
Hyundai Creta,Hyundai,2015,88122,Diesel,Manual,19465,586000.0
Maruti Swift Dzire,Maruti,2015,55839,Petrol,Manual,7763,295000.0
Tata TIGOR,Tata,2019,85687,Petrol,Auto,6456,366000.0
Hyundai Grand i10,Hyundai,2014,45221,Petrol,Manual,7208,217000.0
Hyundai Creta,Hyundai,2018,47914,Petrol,Auto,12581,713000.0
Maruti Dzire,Maruti,2018,44042,Petrol,Auto,7396,419000.00000000006
Hyundai NEW SANTRO,Hyundai,2021,29501,Petrol,Auto,6557,371000.0
Honda City,Honda,2019,117449,Petrol,Manual,12291,553000.0
Ford Ecosport,Ford,2017,75103,Petrol,Manual,7108,364000.0
Maruti S PRESSO,Maruti,2021,28159,Petrol,Manual,5220,296000.0
Maruti Celerio X,Maruti,2018,46076,Petrol,Auto,5790,328000.0
Ford New Figo,Ford,2016,8946,Petrol,Auto,6785,305000.0
Honda Amaze,Honda,2014,99082,Petrol,Manual,7908,238000.0
Jeep Compass,Jeep,2018,48146,Petrol,Manual,11868,672000.0
Nissan Terrano,Nissan,2014,89284,Diesel,Manual,11509,244000.0
Maruti Alto 800,Maruti,2013,25432,CNG,Manual,11509,169000.0
Honda City,Honda,2019,39259,Petrol,Manual,10397,589000.0
Landrover DISCOVERY SPORT,Landrover,2020,56121,Diesel,Auto,66349,3875000.0
Maruti Ciaz,Maruti,2017,57158,Petrol,Auto,8954,458000.0
Maruti Wagon R 1.0,Maruti,2016,48590,Petrol,Auto,5272,237000.0
Honda Jazz,Honda,2017,53561,Petrol,Manual,6497,332000.0
Hyundai Elite i20,Hyundai,2015,63572,Petrol,Manual,9480,360000.0
Honda City,Honda,2016,53947,Petrol,Manual,8853,398000.0
Hyundai Creta,Hyundai,2018,52281,Petrol,Auto,15239,890000.0
Hyundai Grand i10,Hyundai,2015,90849,Petrol,Auto,8690,330000.0
Mahindra Kuv100,Mahindra,2016,64900,Petrol,Manual,4856,218000.00000000003
Renault Kwid,Renault,2015,34594,Petrol,Manual,4477,170000.0
Ford Ecosport,Ford,2013,70238,Petrol,Manual,12093,256999.99999999997
BMW X1,BMW,2017,48094,Diesel,Auto,33701,1550000.0
Skoda Rapid,Skoda,2018,75083,Petrol,Auto,7555,428000.0
Maruti Wagon R 1.0,Maruti,2013,65863,CNG,Manual,7555,200999.99999999997
Honda Brio,Honda,2014,13264,Petrol,Manual,7772,234000.0
Toyota Etios Liva,Toyota,2015,91886,Petrol,Manual,5451,206999.99999999997
Honda BR-V,Honda,2017,75974,Petrol,Manual,10235,524000.0
Maruti Baleno,Maruti,2016,47373,Petrol,Manual,8008,360000.0
Skoda Rapid,Skoda,2015,133941,Diesel,Manual,9084,273000.0
Hyundai i10,Hyundai,2013,31062,Petrol,Manual,7296,155000.0
KIA SELTOS,KIA,2021,74425,Diesel,Auto,15410,900000.0
Renault Kiger,Renault,2022,65563,Petrol,Auto,9195,521000.0
Honda Jazz,Honda,2016,127709,Petrol,Manual,5634,252999.99999999997
Maruti Ertiga,Maruti,2016,95635,Petrol,Auto,10967,493000.0
Maruti Celerio,Maruti,2022,41490,Petrol,Auto,7370,418000.0
Maruti Alto K10,Maruti,2023,15110,Petrol,Manual,6866,389000.0
BMW X1,BMW,2016,52001,Diesel,Auto,40319,1560000.0
Honda WR-V,Honda,2018,42086,Diesel,Manual,10562,540000.0
Ford New Figo,Ford,2016,52813,Petrol,Manual,5200,234000.0
Maruti Wagon R 1.0,Maruti,2016,79584,Petrol,Manual,4972,224000.00000000003
Hyundai Creta,Hyundai,2022,67927,Diesel,Manual,22554,1317000.0
Hyundai i10,Hyundai,2014,20612,Petrol,Manual,7606,229000.0
Hyundai New Elantra,Hyundai,2021,52041,Petrol,Auto,15410,900000.0
Hyundai i20,Hyundai,2012,78000,Petrol,Manual,16979,191000.0
Hyundai VENUE,Hyundai,2021,39323,Petrol,Manual,13769,780000.0
Honda Brio,Honda,2015,34079,Petrol,Manual,6183,235000.0
Honda Amaze,Honda,2014,83878,Petrol,Manual,7274,219000.0
