,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
9078,Maruti Wagon R 1.0,Maruti,2013,108873,Petrol,Manual,9226,196000.0,Nashik
9079,Renault Kwid,Renault,2017,90151,Petrol,Manual,4712,241000.0,Nashik
9080,Ford Figo,Ford,2012,107175,Diesel,Manual,4712,114000.0,Nashik
9081,Hyundai i20,Hyundai,2010,151672,Diesel,Manual,4712,144000.0,Nashik
9082,Chevrolet Cruze,Chevrolet,2012,100296,Diesel,Auto,4712,206000.0,Nashik
9083,Ford Figo,Ford,2012,119269,Diesel,Manual,4712,125000.0,Nashik
9084,Datsun Go,Datsun,2014,82422,Petrol,Manual,3919,118000.0,Nashik
9085,Hyundai Verna,Hyundai,2013,132800,Diesel,Manual,24256,273000.0,Nashik
9086,Maruti Swift,Maruti,2017,100174,Diesel,Manual,10232,460000.0,Nashik
9087,Mahindra Kuv100,Mahindra,2016,83488,Diesel,Manual,5925,225000.0,Nashik
9088,Hyundai Verna,Hyundai,2015,98469,Petrol,Auto,8796,334000.0,Nashik
9089,Datsun Go Plus,Datsun,2015,48028,Petrol,Manual,4371,166000.0,Nashik
9090,Maruti Wagon R 1.0,Maruti,2014,88368,Petrol,Manual,7307,220000.00000000003,Nashik
9091,Maruti Alto 800,Maruti,2016,89864,Petrol,Manual,4071,183000.0,Nashik
9092,Hyundai ALCAZAR,Hyundai,2022,66316,Diesel,Auto,28457,1662000.0,Nashik
9093,Ford New Figo,Ford,2015,156643,Diesel,Manual,7573,228000.0,Nashik
9094,Mahindra XUV500,Mahindra,2012,113742,Diesel,Manual,7573,305000.0,Nashik
9095,Chevrolet Beat,Chevrolet,2016,93758,Diesel,Manual,4477,170000.0,Nashik
9096,Volkswagen Polo,Volkswagen,2011,82270,Diesel,Manual,4477,147000.0,Nashik
9097,Skoda Superb,Skoda,2017,142683,Diesel,Auto,29831,1372000.0,Nashik
9098,Mahindra Verito,Mahindra,2012,132882,Diesel,Manual,29831,134000.0,Nashik
9099,Maruti Alto K10,Maruti,2011,36729,Petrol,Manual,29831,118000.0,Nashik
9100,Hyundai Verna,Hyundai,2014,119335,Petrol,Manual,11060,333000.0,Nashik
9101,Volkswagen Polo,Volkswagen,2016,89977,Petrol,Manual,8008,360000.0,Nashik
9102,Maruti Swift Dzire,Maruti,2012,145766,Diesel,Manual,8008,320000.0,Nashik
9103,Maruti Swift Dzire,Maruti,2013,129221,Diesel,Manual,34029,383000.0,Nashik
9104,Maruti Swift,Maruti,2011,220272,Diesel,Manual,34029,200000.0,Nashik
9105,Maruti Ertiga,Maruti,2014,162250,Petrol,Manual,12920,389000.0,Nashik
9106,Hyundai i10,Hyundai,2011,7201,Petrol,Manual,12920,184000.0,Nashik
9107,Tata Manza,Tata,2011,149542,Diesel,Manual,12920,127000.0,Nashik
9108,Mahindra XUV500,Mahindra,2017,92511,Diesel,Manual,9966,448000.00000000006,Nashik
9109,Maruti Zen Estilo,Maruti,2012,58061,Petrol,Manual,12705,143000.0,Nashik
9110,Tata TIGOR,Tata,2022,70267,Petrol,Manual,9250,524000.0,Nashik
9111,Maruti Swift,Maruti,2019,74223,Petrol,Auto,9003,510000.0,Nashik
9112,Maruti Wagon R 1.0,Maruti,2014,77272,Petrol,Manual,7174,216000.0,Nashik
9113,Maruti S PRESSO,Maruti,2024,18150,Petrol,Auto,9003,510000.0,Nashik
9114,Tata Zest,Tata,2015,117858,Diesel,Auto,8237,248000.0,Nashik
9115,Renault Kwid,Renault,2020,58382,Petrol,Manual,5278,299000.0,Nashik
9116,Hyundai i10,Hyundai,2013,100238,Petrol,Manual,8567,182000.0,Nashik
9117,Tata NEXON,Tata,2020,63315,Petrol,Manual,12357,700000.0,Nashik
9118,Ford Ecosport,Ford,2014,130360,Diesel,Manual,14781,314000.0,Nashik
9119,Tata PUNCH,Tata,2023,29641,Petrol,Auto,13769,780000.0,Nashik
9120,Volkswagen Jetta,Volkswagen,2015,89946,Petrol,Manual,8927,339000.0,Nashik
9121,Renault Kwid,Renault,2020,7206,Petrol,Manual,6284,356000.0,Nashik
9122,Mahindra Kuv100,Mahindra,2017,204010,Diesel,Manual,6940,312000.0,Nashik
9123,Honda City,Honda,2014,147553,Diesel,Manual,18829,400000.0,Nashik
9124,Maruti Baleno,Maruti,2019,60492,Diesel,Manual,9568,542000.0,Nashik
9125,Tata TIGOR,Tata,2017,129740,Petrol,Manual,7786,350000.0,Nashik
9126,Tata Tiago,Tata,2020,139697,Petrol,Manual,10188,458000.0,Nashik
9127,Maruti Swift Dzire,Maruti,2011,100927,Diesel,Manual,10188,203000.0,Nashik
9128,Maruti Eeco,Maruti,2022,56392,Petrol,Manual,10486,594000.0,Nashik
9129,Honda Amaze,Honda,2014,102875,Diesel,Manual,15016,319000.0,Nashik
9130,Hyundai i10,Hyundai,2016,48740,Petrol,Manual,6673,300000.0,Nashik
9131,Maruti Ciaz,Maruti,2015,92292,Diesel,Manual,15943,480000.0,Nashik
9132,Honda City,Honda,2017,67729,Petrol,Auto,10459,535000.0,Nashik
9133,Maruti Swift,Maruti,2011,116318,Diesel,Manual,10459,175000.0,Nashik
9134,Maruti Swift Dzire,Maruti,2011,101539,Diesel,Manual,10459,220000.00000000003,Nashik
9135,BMW X1,BMW,2013,174751,Diesel,Auto,44602,502000.0,Nashik
9136,Maruti Ertiga,Maruti,2020,70269,Petrol,Manual,15119,883000.0,Nashik
9137,Tata Tiago,Tata,2022,73817,Petrol,Manual,10345,586000.0,Nashik
9138,Volkswagen Polo,Volkswagen,2020,62975,Petrol,Manual,7944,450000.0,Nashik
9139,Honda Amaze,Honda,2016,123065,Diesel,Manual,7979,303000.0,Nashik
9140,Maruti Grand Vitara,Maruti,2024,40044,Petrol,Manual,17088,998000.0,Nashik
9141,Tata TIGOR,Tata,2022,39906,Petrol,Manual,11298,640000.0,Nashik
9142,Hyundai Grand i10,Hyundai,2015,50859,Petrol,Manual,8348,317000.0,Nashik
9143,Maruti Ertiga,Maruti,2015,150671,Diesel,Manual,19264,580000.0,Nashik
9144,Mahindra XUV500,Mahindra,2015,335111,Diesel,Manual,16541,498000.00000000006,Nashik
9145,Maruti Dzire,Maruti,2020,94983,Petrol,Auto,10397,589000.0,Nashik
9146,Toyota Glanza,Toyota,2022,80000,Petrol,Manual,10945,620000.0,Nashik
9147,Hyundai i20,Hyundai,2011,131370,Diesel,Manual,10945,208000.0,Nashik
9148,Hyundai NEW I20,Hyundai,2022,14024,Petrol,Manual,12304,697000.0,Nashik
9149,Honda WR-V,Honda,2017,50021,Petrol,Manual,11026,564000.0,Nashik
9150,Tata TIGOR,Tata,2023,10702,Petrol,Manual,11969,678000.0,Nashik
9151,Maruti Swift,Maruti,2012,75072,Petrol,Manual,22034,248000.0,Nashik
9152,Volkswagen Jetta,Volkswagen,2012,106285,Diesel,Manual,22034,293000.0,Nashik
9153,Skoda Rapid,Skoda,2015,94872,Diesel,Manual,10695,322000.0,Nashik
9154,Hyundai Creta,Hyundai,2015,89955,Petrol,Manual,11982,455000.0,Nashik
9155,Maruti Wagon R 1.0,Maruti,2014,94441,Petrol,Manual,8038,242000.0,Nashik
9156,Mahindra MARAZZO,Mahindra,2019,201027,Diesel,Manual,14459,650000.0,Nashik
9157,Mahindra XUV500,Mahindra,2012,123510,Diesel,Manual,14459,317000.0,Nashik
9158,Hyundai Elite i20,Hyundai,2020,90573,Petrol,Manual,9868,559000.0,Nashik
9159,Mahindra XUV 3XO,Mahindra,2025,22573,Diesel,Manual,18287,1068000.0,Nashik
9160,Honda WR-V,Honda,2017,69253,Petrol,Manual,10772,551000.0,Nashik
9161,Renault Kiger,Renault,2023,40955,Petrol,Auto,12163,689000.0,Nashik
9162,Tata Tiago,Tata,2021,13500,Petrol,Manual,10539,597000.0,Nashik
9163,Volkswagen Vento,Volkswagen,2014,208290,Diesel,Manual,18453,392000.0,Nashik
9164,Skoda Superb,Skoda,2011,91150,Diesel,Auto,18453,265000.0,Nashik
9165,Tata TIGOR,Tata,2018,91280,Petrol,Manual,7202,408000.0,Nashik
9166,Honda Amaze,Honda,2016,123070,Diesel,Manual,8032,305000.0,Nashik
9167,Mahindra XUV700,Mahindra,2021,50632,Petrol,Auto,23115,1350000.0,Nashik
9168,Toyota URBAN CRUISER,Toyota,2022,52048,Petrol,Manual,13240,750000.0,Nashik
9169,Toyota Innova Crysta,Toyota,2018,217887,Diesel,Manual,33766,1553000.0,Nashik
9170,Mahindra KUV 100 NXT,Mahindra,2018,93715,Diesel,Manual,7058,361000.0,Nashik
9171,Maruti Baleno,Maruti,2020,126745,Petrol,Manual,9432,424000.0,Nashik
9172,Hyundai VENUE,Hyundai,2019,115611,Diesel,Manual,16928,761000.0,Nashik
9173,Maruti Swift,Maruti,2011,96745,Diesel,Manual,16928,221000.0,Nashik
9174,Mahindra XUV500,Mahindra,2013,243028,Diesel,Manual,30031,338000.0,Nashik
9175,CITROEN C3,CITROEN,2022,25495,Petrol,Manual,8826,500000.0,Nashik
9176,Maruti S Cross,Maruti,2016,85321,Diesel,Manual,14326,544000.0,Nashik
9177,Tata NEXON,Tata,2023,55570,Diesel,Manual,20855,1218000.0,Nashik
9178,Mahindra XUV700,Mahindra,2023,34911,Petrol,Auto,35358,2065000.0,Nashik
9179,Mahindra XUV500,Mahindra,2016,96105,Diesel,Manual,18855,716000.0,Nashik
9180,Mahindra XUV500,Mahindra,2016,232407,Diesel,Manual,15827,601000.0,Nashik
9181,KIA SONET,KIA,2023,10630,Diesel,Manual,26814,1566000.0,Nashik
9182,Tata NEXON,Tata,2022,190015,Diesel,Manual,23591,1085000.0,Nashik
9183,Maruti Ertiga,Maruti,2012,100265,Diesel,Manual,23591,410000.0,Nashik
9184,Toyota Fortuner,Toyota,2023,93589,Diesel,Auto,71914,4200000.0,Nashik
9185,Hyundai Elite i20,Hyundai,2016,118922,Diesel,Manual,11692,444000.00000000006,Nashik
9186,KIA SELTOS,KIA,2023,62610,Diesel,Auto,29194,1705000.0,Nashik
9187,Tata NEXON,Tata,2024,51999,Diesel,Manual,19691,1150000.0,Nashik
9188,Tata Tiago,Tata,2024,46321,Petrol,Manual,8826,500000.0,Nashik
9189,Skoda KUSHAQ,Skoda,2023,62950,Petrol,Manual,17979,1050000.0,Nashik
9190,Skoda Rapid,Skoda,2017,106459,Diesel,Auto,11856,533000.0,Nashik
9191,Hyundai Creta,Hyundai,2022,43168,Diesel,Manual,17996,1051000.0,Nashik
9192,Ford Endeavour,Ford,2017,118227,Diesel,Auto,48312,2222000.0,Nashik
9193,Chevrolet Cruze,Chevrolet,2015,86274,Diesel,Auto,15744,474000.0,Nashik
9194,Maruti Vitara Brezza,Maruti,2018,7774,Diesel,Manual,14917,763000.0,Nashik
9195,Maruti Dzire,Maruti,2022,82984,Petrol,Manual,12357,700000.0,Nashik
9196,Hyundai Elite i20,Hyundai,2014,114397,Petrol,Manual,11326,341000.0,Nashik
9197,Jeep Compass,Jeep,2019,191746,Diesel,Manual,25004,1150000.0,Nashik
9198,Mahindra XUV500,Mahindra,2013,161209,Diesel,Manual,26477,298000.0,Nashik
9199,Ford Endeavour,Ford,2017,245181,Diesel,Auto,31244,1437000.0,Nashik
9200,Hyundai Creta,Hyundai,2016,111631,Diesel,Manual,16590,630000.0,Nashik
9201,Hyundai VENUE,Hyundai,2021,114503,Diesel,Manual,17394,800000.0,Nashik
9202,Mahindra Thar,Mahindra,2023,50012,Diesel,Manual,25684,1500000.0,Nashik
9203,Audi A4,Audi,2013,96700,Diesel,Auto,59706,672000.0,Nashik
9204,Audi Q3,Audi,2016,54771,Diesel,Auto,36158,1399000.0,Nashik
9205,Ford Ecosport,Ford,2015,108806,Diesel,Manual,14282,430000.0,Nashik
9206,Skoda Octavia,Skoda,2015,158887,Diesel,Auto,21623,651000.0,Nashik
9207,Mitsubishi Pajero Sport,Mitsubishi,2014,340989,Diesel,Manual,29562,628000.0,Nashik
9208,MG HECTOR,MG,2020,168469,Diesel,Manual,28917,1330000.0,Nashik
